OBJECTID,Forest_Product_Type,Name,Status,From_,Directions_1,Directions_2,Directions_3,Directions_4,ADM_UNIT_CD,GIS_Acres,GlobalID,created_user,created_date,last_edited_user,last_edited_date,stip_document,Shape__Area,Shape__Length
1061,Christmas Tree,Kerr Gulch,recommended,,,,,,COF02000,,{BE2CE294-3DDF-4895-9F8A-2228B83D2CF9},MPURNELL,2020/10/22 19:14:02+00,MPURNELL,2020/12/04 20:24:45+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,9133399.74671891,19967.2897984664
1062,Fuelwood,"Three Peaks Fuelwood, Dead and Down Aspen",recommended,,,,,,COF02000,,{A996E016-1829-4770-929C-730A4042062C},MPURNELL,2020/09/24 19:25:30+00,MPURNELL,2020/12/04 21:07:37+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,2229432.83274965,7577.83275257713
1063,Christmas Tree,Browns Canyon National Monument,closed,,,,,,COF02000,9784.32695686,{1EDCAE0E-6AD3-4D7A-9E3E-81463BBDDE4F},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,39595766.3842151,38355.5898484187
1064,Christmas Tree,Arkansas Canyonlands ACEC/WSA,closed,,,,,,COF02000,4002.6650189,{2026CE4E-7D3F-48CF-8D7E-0599FA8B37E4},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,16198210.638464,52539.6204069361
1065,Christmas Tree,Waugh Mountain,recommended,,,,,,COF02000,,{FC586415-FB0E-4B9E-A8E1-5ACAD4BFB049},MPURNELL,2020/10/22 19:34:56+00,MPURNELL,2020/12/04 22:42:55+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,4798906.66164603,11071.863754712
1066,Fuelwood,Upper Kerr Gulch,recommended,,,,,,COF02000,,{D0AEBCF9-4C53-43FB-A5BA-54012EA251F4},MPURNELL,2020/09/24 21:41:15+00,MPURNELL,2020/12/04 23:17:51+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,2550130.42983718,8320.47652724529
1067,Christmas Tree,Phantom Canyon ACEC,closed,,,,,,COF02000,6220.64425714,{55B6DA29-2830-447C-BFE9-CDABAFFCC918},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,25174054.1634659,65688.5940886074
1068,Christmas Tree,Phantom Canyon ACEC/WSA,closed,,,,,,COF02000,176.67864932,{45226175-BC44-4A49-93D8-8F381945839D},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,714993.126683235,8760.25350089773
1069,Fuelwood,Grand Canyon Hills,recommended,,,,,,COF02000,,{F07CF295-DAB3-4D61-AD49-2DE6FE5D194F},MPURNELL,2020/09/30 18:51:16+00,MPURNELL,2020/12/04 20:10:13+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,6595918.6640544,14954.2152099892
1070,Christmas Tree,Arkansas Mountain,recommended,,<Null>,,,,COF02000,,{7C7DF48C-1AAA-4929-839B-2146B1B439FC},MPURNELL,2020/09/30 21:57:44+00,MPURNELL,2020/12/04 18:36:48+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,6686112.74073634,17942.4419508804
1071,Fuelwood,"Three Peaks Fuelwood, Dead and Down Aspen",recommended,,,,,,COF02000,,{7A1FC745-ABEA-4B4A-A5E9-E73F964DFACD},MPURNELL,2020/09/24 19:25:30+00,MPURNELL,2020/12/04 23:15:38+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,1161014.18842868,5830.70889411914
1072,Christmas Tree,Beaver Creek ACEC,closed,,,,,,COF02000,232.64203988,{DFA6F71B-5052-4782-93FE-564B759E0C09},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,941468.933210315,11990.8763887504
1073,Fuelwood,Little Sheep North,recommended,,,,,,COF02000,,{6BAFE34F-1D64-4B8B-A162-C9681494625C},MPURNELL,2020/09/24 22:54:27+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,4786821.85891365,10845.8465813161
1074,Christmas Tree,McIntyre Hills WSA,closed,,,,,,COF02000,13455.00612581,{9F21D32C-A1AF-4C21-A819-C7D24D165677},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,54450477.9536495,58986.432573029
1075,Christmas Tree,Browns Canyon ACEC,closed,,,,,,COF02000,1771.50513888,{9B52F976-DF11-4C81-8D38-0666C5488A31},MPURNELL,2020/10/22 20:51:21+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,7169026.94858911,18186.2509890609
1076,Fuelwood,Lower Kerr Gulch,recommended,,,,,,COF02000,,{7680A527-3AB3-43AB-AB10-0A0F89325671},MPURNELL,2020/09/24 21:40:42+00,MPURNELL,2020/12/04 23:16:57+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,4948312.41855966,9742.34914885294
1077,Christmas Tree,Fourmile,recommended,,,,,,COF02000,,{63E3561B-BF2D-46E6-9F7D-0A3EDEB20F83},MPURNELL,2020/10/22 19:19:14+00,MPURNELL,2020/12/04 20:41:07+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,851306.10628631,4156.56339453054
1078,Fuelwood,Badito Cone,recommended,,,,,,COF02000,,{F40B84F7-E2B9-48C9-8A87-6149D32AFC61},MPURNELL,2020/09/24 22:53:10+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,3518092.58634837,12108.0492105953
1079,Christmas Tree,Garden Park Area,recommended,,,,,,COF02000,,{0ADB2828-8219-4D79-9438-3C65BAE9E7F0},MPURNELL,2020/10/22 18:54:46+00,MPURNELL,2020/12/04 20:04:11+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,7948224.25492158,14547.7944417844
1080,Christmas Tree,Shavano,recommended,,,,,,COF02000,,{6504805B-79CE-420E-8887-A8E5E5CC04C1},MPURNELL,2020/10/22 19:22:32+00,MPURNELL,2020/12/04 20:42:46+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,4459993.5678434,12143.2731800232
1081,Christmas Tree,High Mesa Grassland WSA,closed,,,,,,COF02000,2.28e-06,{824D9A3F-E782-472C-BECA-EA742C53939D},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,0.009218785,0.523270294030992
1082,Fuelwood,Browns Canyon ACEC,closed,,,,,,COF02000,1771.50513888,{18F2D860-5628-4A30-91D7-32093E971B88},MPURNELL,2020/10/22 20:50:43+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,7169026.94858911,18186.2509890609
1083,Christmas Tree,Crampton Mountain,recommended,,<Null>,,,,COF02000,,{A8219D9C-FF8F-47D5-A5BB-FFAA2B1E2D9B},MPURNELL,2020/10/22 18:09:27+00,MPURNELL,2020/12/04 19:10:12+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,3792610.76757118,7746.89554927493
1084,Fuelwood,Black Mountain,recommended,,,,,,COF02000,,{560D72B3-F0FD-4DB8-99A0-C2C40A0DE07B},MPURNELL,2020/09/24 22:52:36+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,8067594.93260202,14360.2793032677
1085,Christmas Tree,Beaver Creek WSA,closed,,,,,,COF02000,9878.03003977,{23FC00E5-62A9-4444-A1FE-ED7ADF6F877D},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,39974969.3070938,64322.135077551
1086,Christmas Tree,Grand Canyon Hills,recommended,,,,,,COF02000,,{085BAF96-B1AB-47AD-89B8-C9807BB02708},MPURNELL,2020/10/22 18:57:57+00,MPURNELL,2020/12/04 20:11:13+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,6953048.50237157,10161.3382332962
1087,Christmas Tree,Droney Gulch ACEC,closed,,,,,,COF02000,674.2599449,{9D9088CF-9349-4DF8-883D-4CAB1674C859},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,2728633.18838992,8835.72489162121
1088,Fuelwood,Falls Gulch,recommended,,,,,,COF02000,,{B6E53E47-8293-49AB-B8D7-3E99BEFC40D7},MPURNELL,2020/09/24 21:52:04+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,3342840.98791912,9995.01456034549
1090,Christmas Tree,Garden Park ACEC,closed,,,,,,COF02000,2697.6897878,{90B0C58B-7517-40AF-9884-6DEB6287A3D0},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,10917163.2434186,25632.9639093445
1091,Fuelwood,Three Peaks Fuelwood,recommended,,,,,,COF02000,,{C12C0BDB-E5BA-428D-866E-E78B3D3248D5},MPURNELL,2020/09/24 19:25:30+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,1001067.69592317,3832.90789334214
1092,Christmas Tree,Texas Creek,recommended,,<Null>,,,,COF02000,,{6C21BDDD-AF05-48D8-896D-294F6C1B35BF},MPURNELL,2020/09/30 22:27:33+00,MPURNELL,2020/12/04 18:51:44+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,6488721.26385535,22990.9622416375
1093,Christmas Tree,Grape Creek ACEC/WSA,closed,,,,,,COF02000,11441.40137867,{7A3D3F82-248C-477A-A302-C7299BC6E786},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,46301708.65051,67775.0662694035
1094,Fuelwood,"South Fern Gulch, West McCoy Gulch",recommended,,,,,,COF02000,,{BB75D122-C64C-4677-AF24-C310202591CF},MPURNELL,2020/09/24 21:37:14+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,12551770.3489281,22062.4344120576
1095,Christmas Tree,Mosquito Pass ACEC,closed,,,,,,COF02000,4186.85003576,{1C0E9074-CB7F-4A75-A6BE-A583B481C3A5},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,16943580.9568598,78470.3857514275
1096,Christmas Tree,Lower Grape Creek WSA,closed,,,,,,COF02000,7630.86064176,{F814042B-AB98-420B-9F30-ABF2EBB9D7D7},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,30880997.3965309,47962.2800010345
1097,Christmas Tree,Grape Creek ACEC,closed,,,,,,COF02000,5116.93014804,{C654B80A-881F-41FE-AF40-C90942052240},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,20707481.6325521,68293.9227216394
1098,Christmas Tree,Upper Grape Creek WSA,closed,,,,,,COF02000,3856.29479285,{302B0C9E-643B-411A-A93F-CEC90A93CD46},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,15605871.3491076,29579.9730273717
1099,Christmas Tree,Sand Gulch,recommended,,,,,,COF02000,,{DDEBFECF-C142-4662-8B46-771F7734C3B3},MPURNELL,2020/10/22 18:44:25+00,MPURNELL,2020/12/04 19:05:37+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,5556094.52715958,10911.6318826006
1100,Christmas Tree,Beaver Creek ACEC/WSA,closed,,,,,,COF02000,11971.45710462,{4B1F3686-7139-4394-B00D-D27823ED4707},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,48446768.0693389,85219.2762809041
1101,Christmas Tree,West McCoy Gulch,recommended,,<Null>,,,,COF02000,,{92ACA597-5216-4440-ABD5-BB4722C69037},MPURNELL,2020/09/30 22:37:00+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,7275539.18405578,15017.7667431548
1102,Fuelwood,Sand Gulch,recommended,,,,,,COF02000,,{307002FB-225C-4797-B0B9-FE2844616777},MPURNELL,2020/09/24 21:39:38+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,4433485.44026072,9596.83147206639
1103,Fuelwood,Little Sheep East,recommended,,,,,,COF02000,,{70E5247A-EDC4-4CA0-AF3C-1F53749C57DD},MPURNELL,2020/09/24 22:53:52+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,7977750.06273018,15000.066455586
1104,Christmas Tree,Cucharas Canyon ACEC,closed,,,,,,COF02000,1404.93572825,{0C9BCFEB-0723-4565-B739-B8C0C06FC482},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,5685573.1749117,23761.3503421459
1105,Christmas Tree,Sand Gulch (Howard),recommended,,,,,,COF02000,,{631499F0-3B39-4DA0-ADAA-D27184E1E6A2},MPURNELL,2020/10/22 19:05:53+00,MPURNELL,2020/12/04 20:16:56+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,3492656.86968413,7729.76441949636
1106,Christmas Tree,Arkansas Canyonlands ACEC,closed,,,,,,COF02000,19704.63264335,{EBD4B8D2-8380-4635-9EA4-D12285AB5332},MPURNELL,2020/10/22 18:19:33+00,NDOVGAN,2020/11/24 00:24:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,79741819.1637806,111378.700496583
1107,Christmas Tree,Lodgepole Flats,recommended,,,,,,COF02000,,{C4DB0F7B-6655-4A8D-8B30-D7970EE169D0},MPURNELL,2020/11/02 22:07:32+00,MPURNELL,2020/12/04 23:05:03+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,6019916.25861019,16197.1929613342
1108,Christmas Tree,Penrose Commons,recommended,,,,,,COF02000,,{5200CF88-C24A-4EAC-A29C-7682333DC7DA},MPURNELL,2020/11/02 22:30:00+00,MPURNELL,2020/12/04 23:14:07+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,6581123.56161468,11275.3674000137
1109,Fuelwood,Snaggletooth,closed,,,,,,COS01000,230.82182204,{5F3CFD08-C403-4B69-92F3-CFCD6392D68A},PPARKS,2020/10/30 14:44:15+00,PPARKS,2020/10/30 14:45:39+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,47526601.9278588,79898.2588182025
1110,Christmas Tree,Lower Spud Patch,open,Dove Creek,"travel West on HWY 491 toward Monticello. Turn right on HWY 141, travel North for approximately 11 miles past Egnar, CO. Turn right on either CR J7 or K8.","Proceed East for 1 mile, BLM lands are marked with signs.",,,COS01000,2108.23059813,{9273AB7B-D04B-4A69-873F-F4BFECECE873},PPARKS,2020/10/30 14:41:17+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,27181829.4339473,37404.1211057121
1111,Christmas Tree,Lower Spud Patch,open,Dove Creek,"travel West on HWY 491 toward Monticello. Turn right on HWY 141, travel North for approximately 11 miles past Egnar, CO. Turn right on either CR J7 or K8.","Proceed East for 1 mile, BLM lands are marked with signs.",,,COS01000,2108.23059813,{2FD43B5F-39E3-4854-BFBF-D2AE029180C7},PPARKS,2020/10/30 14:41:17+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,1292111.01812069,5628.77191302764
1112,Fuelwood,Dolores River Special Area,closed,,,,,,COS01000,36179.52640843,{0699C20E-532C-49E7-92EA-FF45FA1ADE6B},PPARKS,2020/10/30 14:46:34+00,PPARKS,2020/10/30 14:47:21+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,185498284.976138,240915.990964252
1113,Christmas Tree,Spud Patch,recommended,Dove Creek,"travel West on HWY 491 toward Monticello. Turn right on HWY 141, travel North for approximately 11 miles past Egnar, CO. Turn right on either CR J7 or K8.","Proceed East for 1 mile, BLM lands are marked with signs.",,,COS01000,13113.68025132,{8C28B9C8-B11F-4C08-8317-D879AD68D67A},PPARKS,2020/10/30 14:39:02+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,51589685.1064673,55042.0921563768
1114,Christmas Tree,Lower Spud Patch,open,Dove Creek,"travel West on HWY 491 toward Monticello. Turn right on HWY 141, travel North for approximately 11 miles past Egnar, CO. Turn right on either CR J7 or K8.","Proceed East for 1 mile, BLM lands are marked with signs.",,,COS01000,2108.23059813,{85A9052A-1A89-4C65-A25A-2774EBED74CB},PPARKS,2020/10/30 14:41:17+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,7308541.09427113,19790.2324029578
1115,Christmas Tree,Lower Spud Patch,open,Dove Creek,"travel West on HWY 491 toward Monticello. Turn right on HWY 141, travel North for approximately 11 miles past Egnar, CO. Turn right on either CR J7 or K8.","Proceed East for 1 mile, BLM lands are marked with signs.",,,COS01000,2108.23059813,{1B0D292A-5BCA-456F-BFB9-BA9BD8670F66},PPARKS,2020/10/30 14:41:17+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,1870095.08057987,6958.07889925561
1116,Christmas Tree,Lower Spud Patch,open,Dove Creek,"travel West on HWY 491 toward Monticello. Turn right on HWY 141, travel North for approximately 11 miles past Egnar, CO. Turn right on either CR J7 or K8.","Proceed East for 1 mile, BLM lands are marked with signs.",,,COS01000,2108.23059813,{F1DD1B4C-FA30-4056-ADCA-DF445AE2EB13},PPARKS,2020/10/30 14:41:17+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,13583187.1021094,21043.7453919284
1117,Christmas Tree,Dolores River Special Area,closed,,,,,,COS01000,36179.52640843,{C1A7081D-1734-4CB2-9E2B-304D0CA21621},PPARKS,2020/11/10 16:25:52+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,185498284.976138,240915.990964252
1118,Christmas Tree,,closed,,,,,,COG01000,1222731.26666584,{D8E1A02C-D327-4414-8A9F-9EE7B15C8E2B},MJACKS,2020/11/20 17:44:46+00,NDOVGAN,2020/11/24 00:16:49+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=333,4948217879.37595,3882404.18214146
1119,Fuelwood,,closed,,,,,,COG01000,1262635.93096719,{3331ED73-7B36-4D6E-83AC-7652E9D32C26},MJACKS,2020/11/20 17:58:40+00,NDOVGAN,2020/11/24 00:16:01+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=203,5109706326.38759,3990697.399303
1120,Christmas Tree,"Roubideau, Zone 2",closed,,,,,,COS05000,6936.27870719,{FF9D1FFB-3588-4090-A3A7-81357C738642},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,28070124.0337672,72820.1599342269
1121,Christmas Tree,Handies Peak,closed,,,,,,COS06000,861.62746877,{C5D072DF-A1BA-4A1F-ABA1-0EE77C0572A6},NDOVGAN,2020/11/24 00:32:30+00,NDOVGAN,2020/11/24 00:33:41+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=347,3486882.65570606,23260.095152344
1122,Christmas Tree,San Miguel River,closed,,,,,,COS05000,3315.74173388,{4D3A9A4E-F180-47B0-81EB-31568D035C4B},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,13418330.7307677,118070.378729414
1123,Christmas Tree,Paradox Rock Art,closed,,,,,,COS05000,1082.78637356,{80BC2A55-C779-400F-A535-93F3CA0803AD},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,4381880.98991489,16787.7528091455
1124,Christmas Tree,Dominguez/Escalante National Conservation Area,closed,,,,,,COS05000,119268.55414421,{E00D28EA-C8FF-447C-9FB5-52BD977FC69D},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,482662714.328872,132596.545095669
1125,Christmas Tree,"Ridgway Trails, Zone 1",closed,,,,,,COS05000,22.89487934,{6224102A-04E8-4B2A-BA6F-529592EA9978},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,92652.289490475,1293.56385866743
1126,Christmas Tree,Biological Soil Crust,closed,,,,,,COS05000,385.13676415,{EC0CB398-36E2-42CF-AB1B-67C8967F1CD4},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,1558593.18748989,6924.65055119359
1127,Christmas Tree,Dolores River Canyon,closed,,,,,,COS05000,13398.21687032,{3414FFE2-3662-4802-A312-01799F0C644F},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,54220659.9903454,122614.067408841
1128,Christmas Tree,Weminuche Contiguous,closed,,,,,,COS06000,1405.24665901,{19DAA5C0-21B0-4D50-B065-B2CC82DC2E3D},NDOVGAN,2020/11/24 00:32:30+00,NDOVGAN,2020/11/24 00:33:41+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=347,5686833.18617492,17039.4425955322
1129,Christmas Tree,"Jumbo Mountain, Zone 1",closed,,,,,,COS05000,285.89954374,{AF0FC085-5881-49E2-B0D7-51FD89D9C586},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,1156994.40476168,7076.34865238962
1130,Christmas Tree,Uncompahgre,closed,,,,,,COS06000,3794.53260591,{995413D4-41A5-4184-86FB-3E9674F86354},NDOVGAN,2020/11/24 00:32:30+00,NDOVGAN,2020/11/24 00:33:41+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=347,15355938.2592269,18322.0423036664
1131,Christmas Tree,Gunnison Gorge National Conservation Area,closed,,,,,,COS05000,65085.5797994,{CE68F39A-B9B9-4A1C-872E-25C0C7CEB18B},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,263391996.616843,132496.106676809
1132,Christmas Tree,Whitehead Gulch,closed,,,,,,COS06000,1855.68118497,{706677C3-7E7E-405B-8DDD-688FB596D44B},NDOVGAN,2020/11/24 00:32:30+00,NDOVGAN,2020/11/24 00:33:41+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=347,7509675.32133885,14558.4650019711
1133,Christmas Tree,Dolores River Riparian ACEC,closed,,,,,,COS05000,1.2515242,{476EF1F6-C704-4DED-9057-C6759FEA9D02},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,5064.738737185,6615.07515728435
1134,Christmas Tree,Needle Rock,closed,,,,,,COS05000,83.07445023,{A9317213-C0DB-42D6-839B-2F3C722BCA7A},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,336190.372451035,2470.94949257528
1135,Christmas Tree,"Dry Creek, Zone 2",closed,,,,,,COS05000,1031.58404211,{65092AA3-1140-45CB-A3A3-636870ECB5BB},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,4174672.50606122,14069.1717274482
1136,Christmas Tree,"Dry Creek, Zone 1",closed,,,,,,COS05000,1632.09782642,{246649CF-5B69-4B55-9297-40D9FCDE3157},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,6604865.57082955,19603.0383376073
1137,Christmas Tree,Red Cloud Peak,closed,,,,,,COS06000,38126.7905966,{17FF9DD4-54E8-4E37-A29B-05AF13513E95},NDOVGAN,2020/11/24 00:32:30+00,NDOVGAN,2020/11/24 00:33:41+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=347,154293647.391335,96850.6984059744
1138,Christmas Tree,"San Miguel River, Zone 1",closed,,,,,,COS05000,18640.76193119,{4B5FA90C-858F-4C4A-8894-93A3BED474F4},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,75436487.13967,182811.36643156
1139,Christmas Tree,Camel Back,closed,,,,,,COS05000,10735.78907168,{25781467-AB25-4D8C-A4B0-96A17F5CE1B9},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,43446196.9542525,35101.1229376511
1140,Christmas Tree,Sewemup Mesa,closed,,,,,,COS05000,1786.78577358,{70DCB6D2-742A-4060-AA6A-0BAA1567652D},NDOVGAN,2020/11/24 00:18:41+00,NDOVGAN,2020/11/24 21:45:49+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_Christmas_Tree_Guidelines2020.pdf,7230865.48327115,16471.5974612991
