YEAR,MONTH,Number_of_Tags_Issued,animal_type,zip_code,OBJECTID
2013,7,10,DOG,40207,394
2013,7,1,DOG,40208,395
2013,7,3,DOG,40210,396
2013,7,4,DOG,40212,397
2013,7,4,DOG,40213,398
2013,7,7,DOG,40214,399
2013,7,3,DOG,40215,400
2013,7,10,DOG,40216,401
2013,7,3,DOG,40217,402
2013,7,6,DOG,40218,403
2013,7,6,DOG,40219,404
2013,7,15,DOG,40220,405
2013,7,6,DOG,40222,406
2013,7,7,DOG,40223,407
2013,7,1,DOG,40228,408
2013,7,2,DOG,40229,409
2013,7,1,DOG,40241,410
2013,7,4,DOG,40242,411
2013,7,5,DOG,40245,412
2013,7,8,DOG,40258,413
2013,7,1,DOG,40268,414
2013,7,8,DOG,40272,415
2013,7,3,DOG,40291,416
2013,7,5,DOG,40299,417
2013,8,3,CAT,40118,418
2013,8,1,CAT,40204,419
2013,8,7,CAT,40205,420
2013,8,3,CAT,40206,421
2013,8,2,CAT,40207,422
2013,8,1,CAT,40208,423
2013,8,1,CAT,40212,424
2013,8,2,CAT,40213,425
2013,8,3,CAT,40214,426
2013,8,1,CAT,40216,427
2013,8,1,CAT,40217,428
2013,8,4,CAT,40218,429
2013,8,5,CAT,40219,430
2013,8,2,CAT,40220,431
2013,8,2,CAT,40222,432
2013,8,2,CAT,40228,433
2013,8,4,CAT,40241,434
2013,8,1,CAT,40242,435
2013,8,2,CAT,40243,436
2013,8,1,CAT,40250,437
2013,8,3,CAT,40272,438
2013,8,3,CAT,40299,439
2013,8,1,DOG,40059,440
2013,8,2,DOG,40118,441
2013,8,1,DOG,40165,442
2013,8,3,DOG,40203,443
2013,8,5,DOG,40204,444
2013,8,2,DOG,40205,445
2013,8,2,DOG,40206,446
2013,8,5,DOG,40207,447
2013,8,3,DOG,40208,448
2013,8,2,DOG,40210,449
2013,8,2,DOG,40211,450
2013,8,3,DOG,40212,451
2013,8,4,DOG,40213,452
2013,8,11,DOG,40214,453
2013,8,8,DOG,40215,454
2013,8,13,DOG,40216,455
2013,8,5,DOG,40217,456
2013,8,5,DOG,40218,457
2013,8,4,DOG,40219,458
2013,8,17,DOG,40220,459
2013,8,5,DOG,40222,460
2013,8,3,DOG,40223,461
2013,8,3,DOG,40228,462
2013,8,3,DOG,40229,463
2013,8,6,DOG,40241,464
2013,8,3,DOG,40242,465
2013,8,1,DOG,40243,466
2013,8,1,DOG,40245,467
2013,8,4,DOG,40258,468
2013,8,2,DOG,40268,469
2013,8,13,DOG,40272,470
2013,8,3,DOG,40291,471
2013,8,12,DOG,40299,472
2013,8,1,DOG,47130,473
2013,9,1,CAT,40059,474
2013,9,1,CAT,40118,475
2013,9,1,CAT,40204,476
2013,9,2,CAT,40205,477
2013,9,3,CAT,40212,478
2013,9,1,CAT,40213,479
2013,9,3,CAT,40214,480
2013,9,1,CAT,40215,481
2013,9,3,CAT,40216,482
2013,9,1,CAT,40218,483
2013,9,2,CAT,40219,484
2013,9,1,CAT,40220,485
2013,9,1,CAT,40222,486
2013,9,1,CAT,40223,487
2013,9,1,CAT,40228,488
2013,9,1,CAT,40229,489
2013,9,2,CAT,40241,490
2013,9,1,CAT,40242,491
2013,9,1,CAT,40243,492
2013,9,4,CAT,40272,493
2013,9,2,CAT,40291,494
2013,9,3,CAT,40299,495
2013,9,1,DOG,8072,496
2013,9,2,DOG,40059,497
2013,9,1,DOG,40118,498
2013,9,1,DOG,40203,499
2013,9,1,DOG,40204,500
2013,9,10,DOG,40205,501
2013,9,1,DOG,40206,502
2013,9,3,DOG,40207,503
2013,9,2,DOG,40212,504
2013,9,1,DOG,40213,505
2013,9,14,DOG,40214,506
2013,9,8,DOG,40215,507
2013,9,11,DOG,40216,508
2013,9,2,DOG,40217,509
2013,9,3,DOG,40218,510
2013,9,11,DOG,40219,511
2013,9,5,DOG,40220,512
2013,9,2,DOG,40222,513
2013,9,3,DOG,40223,514
2013,9,3,DOG,40228,515
2013,9,6,DOG,40229,516
2013,9,3,DOG,40241,517
2013,9,4,DOG,40242,518
2013,9,1,DOG,40243,519
2013,9,2,DOG,40245,520
2013,9,7,DOG,40258,521
2013,9,5,DOG,40272,522
2013,9,4,DOG,40291,523
2013,9,10,DOG,40299,524
2013,9,1,DOG,40601,525
2013,10,1,CAT,40023,526
2013,10,2,CAT,40047,527
2013,10,1,CAT,40201,528
2013,10,3,CAT,40204,529
2013,10,3,CAT,40205,530
2013,10,2,CAT,40207,531
2013,10,3,CAT,40212,532
2013,10,2,CAT,40213,533
2013,10,3,CAT,40214,534
2013,10,1,CAT,40215,535
2013,10,3,CAT,40216,536
2013,10,1,CAT,40217,537
2013,10,1,CAT,40219,538
2013,10,7,CAT,40220,539
2013,10,3,CAT,40222,540
2013,10,3,CAT,40223,541
2013,10,2,CAT,40228,542
2013,10,1,CAT,40229,543
2013,10,1,CAT,40243,544
2013,10,1,CAT,40245,545
2013,10,7,CAT,40272,546
2013,10,2,CAT,40291,547
2013,10,1,CAT,40299,548
2013,10,1,DOG,40023,549
2013,10,1,DOG,40041,550
2013,10,1,DOG,40059,551
2013,10,2,DOG,40077,552
2013,10,2,DOG,40201,553
2013,10,2,DOG,40203,554
2013,10,2,DOG,40204,555
2013,10,15,DOG,40205,556
2013,10,5,DOG,40206,557
2013,10,17,DOG,40207,558
2013,10,1,DOG,40208,559
2013,10,1,DOG,40210,560
2013,10,3,DOG,40211,561
2013,10,2,DOG,40212,562
2013,10,8,DOG,40213,563
2013,10,12,DOG,40214,564
2013,10,7,DOG,40215,565
2013,10,10,DOG,40216,566
2013,10,6,DOG,40217,567
2013,10,6,DOG,40218,568
2013,10,7,DOG,40219,569
2013,10,6,DOG,40220,570
2013,10,7,DOG,40222,571
2013,10,4,DOG,40223,572
2013,10,5,DOG,40228,573
2013,10,4,DOG,40229,574
2013,10,1,DOG,40241,575
2013,10,3,DOG,40242,576
2013,10,7,DOG,40243,577
2013,10,1,DOG,40253,578
2013,10,11,DOG,40258,579
2013,10,5,DOG,40272,580
2013,10,8,DOG,40291,581
2013,10,12,DOG,40299,582
2013,11,1,CAT,40023,583
2013,11,1,CAT,40118,584
2013,11,5,CAT,40204,585
2013,11,3,CAT,40205,586
2013,11,2,CAT,40206,587
2013,11,2,CAT,40207,588
2013,11,1,CAT,40208,589
2013,11,2,CAT,40210,590
2013,11,3,CAT,40213,591
2013,11,14,CAT,40214,592
2013,11,4,CAT,40215,593
2013,11,6,CAT,40216,594
2013,11,4,CAT,40217,595
2013,11,3,CAT,40218,596
2013,11,4,CAT,40219,597
2013,11,2,CAT,40220,598
2013,11,2,CAT,40222,599
