OBJECTID,ZCTA5CE10,GEOID10,FUNCSTAT10,ALAND10,AWATER10,County,SIF_Area,GlobalID,ALAND10_1,AWATER10_1,INTPTLAT10_1,INTPTLON10_1,PARTFLG10_1,GEOID10_12,ZCTA5CE10_12,County_12,ID,Median_HH_Income
49,48208,2648208,S,8190764,0,Wayne,,aeb38470-56ad-4250-80d2-8e3772184af9,8190764,0,+42.3484911,-083.0919366,N,2648208,48208,Wayne,90,18660
50,48096,2648096,S,94741211,296426,,,8d9bebb3-e9c0-496c-9d2e-904e3b5f62ff,94741211,296426,+42.7621506,-082.9204704,N,2648096,48096,Macomb,46,78326
51,48313,2648313,S,23503570,406887,,,ba9ce1e7-dce6-48ed-9c02-d144a8156f91,23503570,406887,+42.6006514,-083.0029032,N,2648313,48313,Macomb,130,61781
52,48091,2648091,S,20698268,0,,1,575ea4ed-d07a-42b1-8c21-b0d572f40969,20698268,0,+42.4681680,-083.0579860,N,2648091,48091,Macomb,41,34291
53,48316,2648316,S,28762237,627097,,,aa5c010e-0009-4918-876c-117d2982a309,28762237,627097,+42.6901730,-083.0572439,N,2648316,48316,Macomb,133,72261
54,48047,2648047,S,46696164,13420267,,,4bc76e6b-7c63-40ff-b3f8-034edc08083a,46696164,13420267,+42.6742396,-082.7738418,N,2648047,48047,Macomb,18,69706
55,48045,2648045,S,37852081,23892437,,,bf9e4a38-bdd8-4bb6-b06b-34f3789231c9,37852081,23892437,+42.5864089,-082.8181134,N,2648045,48045,Macomb,17,54561
56,48397,2648397,S,462102,0,,,52557e5c-69cd-4816-afb3-b123814e3ea6,462102,0,+42.4950169,-083.0410352,N,2648397,48397,Macomb,172,
57,48340,2648340,S,19451041,223003,,1,8ae6ad75-8cec-42fd-9bf6-efa384d72b18,19451041,223003,+42.6721455,-083.2879038,N,2648340,48340,Oakland,147,29572
58,48220,2648220,S,11479188,0,,1,8c7adaa9-ab6b-495e-8cb8-790148230d51,11479188,0,+42.4580661,-083.1352127,N,2648220,48220,Oakland,102,47284
59,48329,2648329,S,26456696,5606231,,,d248c2f5-400e-45cd-aaaa-caffb3b28385,26456696,5606231,+42.6870157,-083.3886216,N,2648329,48329,Oakland,142,67376
60,48076,2648076,S,18438102,0,,,09577253-ce29-462a-a5aa-053cd6d3772d,18438102,0,+42.4975170,-083.2308736,N,2648076,48076,Oakland,32,62516
61,48393,2648393,S,34281698,636214,,,39216c08-ae21-4dd0-880f-d1ae6eabbad7,34281698,636214,+42.5218381,-083.5450877,N,2648393,48393,Oakland,171,48210
62,48359,2648359,S,27891596,772580,,,3efcd7f4-095f-4bb5-ba42-38cd4c0590b5,27891596,772580,+42.7207425,-083.2755218,N,2648359,48359,Oakland,155,62971
63,48167,2648167,S,46056638,521639,Wayne,,eb658241-4632-4916-828f-12d1491ce56d,46056638,521639,+42.4323151,-083.5246583,N,2648167,48167,Wayne,67,80012
64,48070,2648070,S,3847786,9241,,,d9d3be2a-0f39-47fb-a029-38dc5fe7174d,3847786,9241,+42.4818989,-083.1680876,N,2648070,48070,Oakland,27,113750
65,48207,2648207,S,16061703,521193,Wayne,,1e491638-c22f-4277-b3cd-4281514958d6,16061703,521193,+42.3496544,-083.0189600,N,2648207,48207,Wayne,89,25340
66,48174,2648174,S,106680136,588742,Wayne,,75114540-a1ec-4553-8b67-6476351b2be5,106680136,588742,+42.2342980,-083.3943243,N,2648174,48174,Wayne,71,44918
67,48188,2648188,S,46715127,44071,Wayne,,d054ccbb-c0ab-43d9-a92e-6278c7f70aca,46715127,44071,+42.2836875,-083.4827194,N,2648188,48188,Wayne,79,90099
68,48126,2648126,S,25386287,240192,Wayne,,f04ebe54-82b3-4505-9fcf-4749db24a845,25386287,240192,+42.3257905,-083.1832135,N,2648126,48126,Wayne,54,28524
69,48228,2648228,S,22299441,0,Wayne,1,3e03c0f0-035a-49ce-a784-216343f91b98,22299441,0,+42.3554551,-083.2170142,N,2648228,48228,Wayne,109,23767
70,48219,2648219,S,21773613,5168,Wayne,1,606de42b-4d48-45b9-8cba-5c5d472b4b08,21773613,5168,+42.4253278,-083.2514284,N,2648219,48219,Wayne,101,30979
71,48203,2648203,S,20756114,18585,Wayne,1,da76c77c-5a41-469e-b066-6653e2b74052,20756114,18585,+42.4207361,-083.1043384,N,2648203,48203,Wayne,85,22891
72,48138,2648138,S,23824274,3950375,Wayne,,352694cd-7cbd-4e32-ab9a-49696e31e655,23824274,3950375,+42.1339782,-083.1539214,N,2648138,48138,Wayne,59,92674
73,48233,2648233,S,48551,0,Wayne,,e10ff8f4-6c56-4161-a326-279a86148364,48551,0,+42.3236973,-083.0616620,N,2648233,48233,Wayne,112,
74,48134,2648134,S,46410603,1160454,Wayne,,48d51f8e-edbf-45af-8506-67cdef3980f7,46410603,1160454,+42.1065592,-083.2961566,N,2648134,48134,Wayne,57,61312
75,48111,2648111,S,174712960,5993611,Wayne,,413f1e20-6fe9-4683-805b-fca10ae76404,174712960,5993611,+42.1773124,-083.4884438,N,2648111,48111,Wayne,49,53647
76,48341,2648341,S,16553506,622686,,1,02b334d8-63bd-4d91-9086-89ccca3c03f5,16553506,622686,+42.6279851,-083.2968413,N,2648341,48341,Oakland,148,32437
77,48302,2648302,S,28779375,3009391,,,99609128-8588-4f09-a058-48c71ad10c15,28779375,3009391,+42.5851084,-083.2934674,N,2648302,48302,Oakland,123,115505
78,48304,2648304,S,29280740,240747,,,287f8380-b649-4e22-936a-8cf761571a19,29280740,240747,+42.5888661,-083.2331516,N,2648304,48304,Oakland,124,107345
79,48348,2648348,S,85808148,2392869,,,779f1716-5003-42e2-9c32-b71dd85e23d2,85808148,2392869,+42.7701311,-083.4038752,N,2648348,48348,Oakland,151,94932
80,48346,2648346,S,46526882,2248921,,,b7aced94-8d94-479e-b5fa-84f8d67298c9,46526882,2248921,+42.7176969,-083.4289043,N,2648346,48346,Oakland,150,62998
81,48237,2648237,S,13341572,0,,1,86f91171-9bb7-417f-beb4-ded2c8d8b947,13341572,0,+42.4649685,-083.1824197,N,2648237,48237,Oakland,116,47292
82,48025,2648025,S,20795336,40066,,,1226b52f-79fb-42f5-8dc5-7fa52728604c,20795336,40066,+42.5203566,-083.2648239,N,2648025,48025,Oakland,6,106472
83,48017,2648017,S,5683647,0,,,2efcfa82-7072-4ca5-a386-2fd9ef9ad7f4,5683647,0,+42.5366953,-083.1503605,N,2648017,48017,Oakland,4,54021
84,48005,2648005,S,94471583,156724,,,eba0d7a4-e9b5-4f95-9646-95e8214f1811,94471583,156724,+42.8507421,-082.9238283,N,2648005,48005,Macomb,1,74866
85,48211,2648211,S,10848548,0,Wayne,,38689c5b-6b30-466f-bd07-3be1c20f3bfa,10848548,0,+42.3813468,-083.0457331,N,2648211,48211,Wayne,93,19058
86,48120,2648120,S,8253572,149422,Wayne,,17fc2d0d-c7d5-481d-95a6-a451ef6e12d1,8253572,149422,+42.3063266,-083.1762109,N,2648120,48120,Wayne,50,45805
87,48201,2648201,S,5193540,0,Wayne,,568f38f9-92aa-4124-bf31-74ed34dff7e6,5193540,0,+42.3470206,-083.0601841,N,2648201,48201,Wayne,83,12851
88,48127,2648127,S,19924557,22246,Wayne,,a18205ab-c247-405e-85da-e7a04e178bce,19924557,22246,+42.3357932,-083.2832964,N,2648127,48127,Wayne,55,43652
89,48442,2648442,S,221106779,9626182,,,bfea796c-3307-4104-8887-103d1cebf6eb,221106779,9626182,+42.7886803,-083.6061018,N,2648442,48442,Oakland,173,67069
90,48314,2648314,S,19963757,86817,,,d6406f3f-74cd-44bc-a818-323d36fbb839,19963757,86817,+42.6120739,-083.0534892,N,2648314,48314,Macomb,131,61018
91,48038,2648038,S,28395064,40058,,,9e657f06-e7f0-4b72-9aa9-6921815d7bb8,28395064,40058,+42.6061625,-082.9375883,N,2648038,48038,Macomb,13,53110
92,48026,2648026,S,10725535,40959,,,47e923be-586d-4da7-804e-ad7539ad78a7,10725535,40959,+42.5376330,-082.9467415,N,2648026,48026,Macomb,7,51230
93,48386,2648386,S,43311680,6263206,,,786761f7-c152-4e6e-843f-7cfafa42d771,43311680,6263206,+42.6603193,-083.4802806,N,2648386,48386,Oakland,169,72475
94,48326,2648326,S,44779600,1578102,,,b2118676-5967-4cb2-8427-a69952383e8f,44779600,1578102,+42.6882462,-083.2440754,N,2648326,48326,Oakland,139,53409
95,48390,2648390,S,32461268,2524821,,,20cd0a03-6219-4450-9376-86c90310ed42,32461268,2524821,+42.5507106,-083.4742179,N,2648390,48390,Oakland,170,65338
