Provider,Positive_Cases_Staff,Positive_Cases_Child,Licensed_Capacity,Tier_Level,City,State,Zip_Code,Council_District,ObjectId
Mary Michelle Pledger,0,9,6,"$3,500 ",Louisville,KY,40228,24,138
Celeste Nichols,0,0,6,"$3,500 ",Louisville,KY,40212,5,139
Yanelis Gonzalez Reyes,2,1,6,"$3,500 ",Louisville,KY,40213,2,140
Wanda Poulter,1,1,6,"$3,500 ",Louisville,KY,40291,22,141
Munchkin Manor Child Enrichment Center,0,0,46,"$7,000 ",Louisville,KY,4021,5,142
"Keystone Learning Academy, Inc.",0,0,120,"$11,500 ",Louisville,KY,40210,6,143
Chestnut Street YMCA Child Care,7,10,364,"$11,500 ",Louisville,KY,40203,4,144
"Highlands Community Ministries, Inc",3,12,83,"$7,000 ",Louisville,KY,40205,8,145
Maple Grove Baptist Day Care Center,3,4,74,"$7,000 ",Louisville,KY,40219,23,146
Ridgewood Child Development Center,0,0,99,"$7,000 ",Louisville,KY,40258,12,147
St Benedict Center for Early education,6,15,160,"$11,500 ",Louisville,KY,40210,4,148
WesKids Child Development Center,5,4,74,"$7,000 ",Louisville,KY,40213,21,149
"Highlands Community Ministries, Inc Eastern Star",8,22,83,"$7,000 ",Louisville,KY,40204,8,150
Temple Trager ECEC,3,10,195,"$11,500 ",Louisville,KY,40241-6000,16,151
"Friends School, Inc.",0,0,136,"$11,500 ",Louisville,KY,40207,26,152
Wee Care Nursery,0,2,100,"$11,500 ",Louisville,KY,40243,19,153
St. Joseph Child Development Center,19,39,185,"$11,500 ",Louisville,KY,40206,9,154
Adath Jeshurun Preschool,4,6,173,"$11,500 ",Louisville,KY,40205,8,155
St. Matthews Area Ministries Child Development Center (St. MAM),6,0,122,"$11,500 ",Louisville,KY,40222,7,156
Olmsted South Middle Childcare Enrichment Program,0,1,99,"$7,000 ",Louisville,KY,40214,21,157
"Beth Haven Baptist Church, Inc.",5,21,227,"$11,500 ",Louisville,KY,40272,14,158
Southwest YMCA Childcare Center,4,7,118,"$11,500 ",Louisville,KY,40214,25,159
First Kids Early Childhood & School Age Care,4,9,127,"$11,500 ",Louisville,KY,40241,16,160
Mosaic CDC,3,4,150,"$11,500 ",Louisville,KY,40258,12,161
Strathmoor Preschool Education Center,5,7,99,"$7,000 ",Louisville,KY,40205,8,162
