OBJECTID,LANDUSE_TYPE,LANDUSE_SUBTYPE,LANDUSE_KEY,SHAPE_Length,SHAPE_Area
2127,03,216,Public Parks,2564.92901959944,-319117.87993769
2128,03,216,Public Parks,956.556872944338,-45414.1762797201
2129,03,216,Public Parks,3189.35876467166,-476891.791565035
2130,03,216,Public Parks,2663.97266210668,-117145.184784388
2131,03,216,Public Parks,593.264589336857,-9030.00416401673
2132,03,216,Public Parks,2123.38617899995,-180525.118064265
2133,03,216,Public Parks,630.371286417629,-18944.6871172693
2134,03,216,Public Parks,2276.73204370347,-302644.48495393
2135,03,216,Public Parks,23348.3126243234,-7614136.67103732
2136,03,216,Public Parks,327.141792001186,-5595.52496479747
2137,03,216,Public Parks,15233.7360468776,-5717206.18215757
2138,03,216,Public Parks,267.638829076454,-2720.36772252092
2139,03,216,Public Parks,2595.16385790855,-180808.923419194
2140,03,216,Public Parks,2890.13090332243,-173836.685315339
2141,03,216,Public Parks,404.139754523549,-8574.63719683767
2142,03,216,Public Parks,608.386475114022,-22024.8901563147
2143,03,216,Public Parks,866.939234700686,-48677.9658607919
2144,03,216,Public Parks,2194.19260312869,-119375.705815735
2145,03,216,Public Parks,4540.95664559369,-598110.89652783
2146,03,216,Public Parks,3247.95403167015,-321359.770645358
2147,03,216,Public Parks,9258.87210508751,-2811267.60906474
2148,03,216,Public Parks,2473.19218960755,-225427.938456385
2150,03,216,Public Parks,2910.63275715776,-330118.7972285
2151,03,216,Public Parks,6500.3976005704,-738020.107770262
2152,03,216,Public Parks,44190.8348234065,-5863773.50738621
2153,03,216,Public Parks,13864.3991152088,-5149318.86661417
2154,03,216,Public Parks,4066.87410040284,-780342.060828731
2155,03,216,Public Parks,607.392629634057,-16293.8231221482
2156,03,216,Public Parks,2949.95539947875,-440741.388955009
2157,03,216,Public Parks,9068.3831029251,-3786045.25714769
2158,03,216,Public Parks,1055.33937695893,-52501.734340993
2159,03,216,Public Parks,710.617741845518,-17004.223854924
2160,03,216,Public Parks,470.901768944527,-10529.0144075893
2161,03,216,Public Parks,4739.77686034686,-617905.974509926
2162,03,216,Public Parks,473.853828149205,-4188.18006336036
2163,03,216,Public Parks,3646.82902675727,-705307.624114766
2164,03,216,Public Parks,415.754159102698,-4615.29911439292
2165,03,216,Public Parks,6147.20462157995,-1077297.68724063
2166,03,216,Public Parks,12806.9971597739,-671488.789973099
2168,03,216,Public Parks,2522.89613806982,-169870.666687698
2169,03,216,Public Parks,2216.7283733637,-117918.712129543
2170,03,216,Public Parks,16074.7611057266,-1626682.3666728
2171,03,216,Public Parks,2201.29423867507,-134476.079721961
2172,03,216,Public Parks,1789.57507184067,-69749.6448997633
2173,03,216,Public Parks,6533.68999113386,-936618.180617228
2174,03,216,Public Parks,1099.5571262056,-44115.2233425663
2175,03,216,Public Parks,1901.59875431589,-133185.85967495
2176,03,216,Public Parks,2633.33849762748,-310248.29608792
2177,03,216,Public Parks,509.112028405318,-14644.9173031918
2178,03,216,Public Parks,1422.89039924222,-44599.2850004168
2179,03,216,Public Parks,1569.86607996896,-43950.1236914615
2180,03,216,Public Parks,1920.06474920904,-163899.342775921
2181,03,216,Public Parks,1294.0408414225,-44392.1925380034
2182,03,216,Public Parks,587.64542237727,-7762.95382096919
2183,03,216,Public Parks,22981.1464412528,-2022849.68078748
2184,03,216,Public Parks,632.515003950663,-8398.18147652715
2185,03,216,Public Parks,1064.58596657087,-61942.3587871593
2186,03,216,Public Parks,3885.28440872468,-677308.474912614
2187,03,216,Public Parks,124.643137538742,-686.510878639458
2188,03,216,Public Parks,2167.05159435572,-229788.827160404
2189,03,216,Public Parks,5455.81362962755,-621955.137809206
2190,03,216,Public Parks,4175.61965751782,-621729.416014103
2191,03,216,Public Parks,3841.93878603435,-763894.410184575
2193,03,216,Public Parks,2105.78064961133,-80578.9724680497
2194,03,216,Public Parks,349502.19716378,-160267930.856712
2195,03,216,Public Parks,9182.05241892236,-1183430.09150197
2196,03,216,Public Parks,1436.31393421981,-45300.8252068428
2197,03,216,Public Parks,2344.95064436096,-299360.703388802
2198,03,216,Public Parks,2287.34816491639,-304433.705960314
2199,03,216,Public Parks,7433.86282119563,-2842471.2034659
2200,03,216,Public Parks,5781.21474008892,-1131451.6005348
2201,03,216,Public Parks,1183.08770903768,-39761.235101904
2202,03,216,Public Parks,971.781594316065,-57068.7385109987
2203,03,216,Public Parks,347.925293036702,-5497.69998300585
2204,03,216,Public Parks,2901.90947975949,-344184.454707686
2205,03,216,Public Parks,1100.5434731686,-63154.6909761413
2207,03,216,Public Parks,934.471446309136,-21424.7292467248
2210,03,216,Public Parks,342.367035223929,-6896.4697248084
2213,03,216,Public Parks,651.54273978925,-25787.440650125
2214,03,216,Public Parks,17942.0535749171,-6457650.60227558
2215,03,216,Public Parks,14449.7703946127,-1908570.5345683
2216,03,216,Public Parks,3512.26050895304,-225962.069668334
2217,03,216,Public Parks,943.478886012692,-42126.0109654671
2218,03,216,Public Parks,2641.80389459082,-241175.267711229
2219,03,216,Public Parks,2680.88546189028,-259738.631226876
2220,03,216,Public Parks,3166.44433023332,-266511.878460509
2221,03,216,Public Parks,6927.25155903124,-740394.808211585
2222,03,216,Public Parks,245.629706770236,-2.31752938996687
2223,03,216,Public Parks,9224.55241359831,-1046221.8121467
2224,03,216,Public Parks,927.188959382736,-41634.8994048269
2225,03,216,Public Parks,3186.44342935796,-467482.895884999
2226,03,216,Public Parks,2671.65231112615,-425254.511309461
2227,03,216,Public Parks,5511.90977310058,-1694693.71211621
2228,03,216,Public Parks,4219.78487446831,-861287.718673638
2229,03,216,Public Parks,7333.46795360242,-549995.754357643
2230,03,216,Public Parks,2565.80571500332,-273024.547414846
2231,03,216,Public Parks,4509.32515931986,-868617.115909029
2233,03,216,Public Parks,26680.7849258928,-3547533.86757215
2234,03,216,Public Parks,21369.8890988518,-3059782.83692125
2235,03,216,Public Parks,1768.33680247484,-151113.039072144
2236,03,216,Public Parks,5781.02688221219,-787318.210794742
2237,03,216,Public Parks,854.103211665782,-22322.6553909543
2238,03,216,Public Parks,1904.37100115996,-159029.091774846
2239,03,216,Public Parks,1297.71822534966,-90326.780599518
2240,03,216,Public Parks,3252.76230654164,-633327.879443101
2241,03,216,Public Parks,2051.28153267428,-164781.339034244
2242,03,216,Public Parks,8377.82873369648,-1676335.33352395
2243,03,216,Public Parks,5375.55919468999,-1504824.04219057
2244,03,216,Public Parks,396464.305755646,-80750046.9621312
2246,03,216,Public Parks,9729.10335879908,-1037659.91998068
2247,03,216,Public Parks,1644.52845677584,-106713.205386886
2248,03,216,Public Parks,11029.9462705824,-1489860.25035182
2249,03,216,Public Parks,3780.70832335038,-815457.858534773
2250,03,216,Public Parks,10645.8318768286,-1679867.71545772
2251,03,216,Public Parks,1614.20955879749,-110761.453189981
2252,03,216,Public Parks,1976.99991111286,-195936.549148965
2253,03,216,Public Parks,4242.61516128649,-532966.74044537
2254,03,216,Public Parks,7085.26408757661,-942414.850009367
2255,03,216,Public Parks,3840.42461149892,-258353.763535665
2256,03,216,Public Parks,2361.31290081683,-277840.370431978
