County,District,School_Name,Program,Application_Number,Applicant,Preliminary_Grant_Application,Full_Grant_Application,Site_and_Design_Application,Site_Only_Application,Design_Only_Application,Environmental_Hardship_Application,Reduced_to_Costs_Incurred,Number_of_Elementary_School_Pupil_Grants_Requested,Number_of_Middle_School_Pupil_Grants_Requested,Number_of_High_School_Pupil_Grants_Requested,Number_of_Non_Severe_School_Pupil_Grants_Requested,Number_of_Severe_School_Pupil_Grants_Requested,Grade_Level_of_Project,State_Share_of_Funding,Site_Acquisition,Financial_Hardship,CSFA_Lease_Amount,CTEFP_Loan_Amount,Type_of_Joint_Use_Facility,Type_of_Joint_Use_Partner,Industry_Sector,Portables_Replaced,Last_SAB_Date,Status
Solano,Solano County Office Of Education,Jones (k. I.) Elementary,Modernization,57/10488-00-024,,,,,,55270.00,,,,,,,20,EL,58192.50,,38795.00,,,,,,,6/24/2020,Closed
Solano,Solano County Office Of Education,Larsen School,Modernization,57/10488-00-025,,,,,,193445.00,,,,,,,70,EL,116067.00,,77378.00,,,,,,,6/27/2012,40% Completed
Solano,Solano County Office Of Education,T.c. Mc Daniel Elementary,Modernization,57/10488-00-027,,,1219710.00,,,124358.00,,,,,,,45,EL,1612882.00,,1075254.00,,,,,,,10/28/2020,98% Completed
Solano,Solano County Office Of Education,Grange Middle,Modernization,57/10488-00-028,,,,,,22108.00,,,,,,,8,HI,17943.76,,11961.84,,,,,,,6/24/2020,Closed
Solano,Solano County Office Of Education,Golden West Intermediate,Modernization,57/10488-00-030,,,,,,19345.00,,RCI,,,,,8,MI,19900.50,,13267.00,,,,,,,10/24/2018,40% Completed
Solano,Solano County Office Of Education,Silveyville Primary,Modernization,57/10488-00-031,,,,,,22108.00,,RCI,,,,,8,EL,18390.66,,12259.76,,,,,,,10/24/2018,40% Completed
Stanislaus,Stanislaus County Office Of Education,Stanislaus County Special Education,Modernization,57/10504-00-001,,,4120583.00,,,568907.00,,,,,,,219,EL,33504852.00,,22336572.00,,,,,,,10/26/2022,Closed
Tulare,Tulare County Office Of Education,Conyer Elementary,Modernization,57/10546-00-001,,,129112.21,,,10078.00,,,,,,,8,EL,306888.00,,192068.84,,,,,,,8/4/2010,Closed
Tulare,Tulare County Office Of Education,L.b Hill South (aka L.b Hill Learning Center),Modernization,57/10546-00-003,,,274794.00,,,21414.00,,,,,,,17,EL,661180.00,,445444.00,,,,,,,8/4/2010,Closed
Tulare,Tulare County Office Of Education,Maple L C,Modernization,57/10546-00-005,,,993722.00,,,102931.00,,,,,,,64,EL,1563252.00,,630054.00,,,,,,,12/15/2010,Closed
Tulare,Tulare County Office Of Education,"L.b Hill North (aka Lb Hill South, Sdc)",Modernization,57/10546-00-007,,,1857048.67,,,,,,,,,,52,EL,1188169.00,,668879.67,,,,,,,5/31/2023,Funds Released
Ventura,Ventura County Office Of Education,Douglas Penfield School,Modernization,57/10561-00-001,,,1589222.00,,,204588.00,,,,,,,56,EL,2152572.00,,1435048.00,,,,,,,3/21/2018,99% Completed
Ventura,Ventura County Office Of Education,Dorothy Boswell,Modernization,57/10561-00-002,,,1133548.00,,,136392.00,,,,,,,48,EL,1523928.00,,1015952.00,,,,,,,3/21/2018,95% Completed
Ventura,Ventura County Office Of Education,Carl Dwire Special School,Modernization,57/10561-00-003,,,1676706.00,,,201747.00,,,,,,,71,EL,2254144.00,,1502762.00,,,,,,,3/21/2018,99% Completed
Ventura,Ventura County Office Of Education,Phoenix Airport School,Modernization,57/10561-00-004,,,1092097.00,,,153441.00,,,,,,,54,EL,1494646.00,,996430.00,,,,,,,9/6/2017,99% Completed
Ventura,Ventura County Office Of Education,Gateway Community,Modernization,57/10561-00-005,,,,,,157560.00,,,,,98,,,HI,94536.00,,63024.00,,,,,,,5/27/2020,2% Completed
Yuba,Yuba County Office Of Education,Agnes Weber Meade (sdl),Modernization,57/10587-00-001,,,,,,59657.00,,,,,,,22,EL,59657.00,,,,,,,,,4/24/2019,5% Completed
Yuba,Yuba County Office Of Education,Anna Bell Karr,Modernization,57/10587-00-002,,,313058.67,,,38602.00,,,,,,,11,MI,513116.00,,190205.34,,,,,,,4/26/2023,99% Completed
Yuba,Yuba County Office Of Education,Goldfield School (sdl),Modernization,57/10587-00-003,,,565878.67,,,66676.00,,,,,,,22,EL,790364.00,,474745.34,,,,,,,4/27/2022,95% Completed
Yuba,Yuba County Office Of Education,Spring Valley School,Modernization,57/10587-00-004,,,,,,28074.00,,,,,,,13,EL,16844.00,,11230.00,,,,,,,4/24/2019,5% Completed
Yuba,Yuba County Office Of Education,Virginia School(aka Special Education#2 & #3),Modernization,57/10587-00-005,,,1927676.33,,,200027.00,,,,,,,57,MI,1276622.00,,851081.33,,,,,,,5/31/2023,95% Completed
Yuba,Yuba County Office Of Education,Virginia School @ Yuba College,Modernization,57/10587-00-006,,,,,,42111.00,,,,,,,16,HI,25267.00,,16844.00,,,,,,,4/24/2019,6% Completed
Alameda,Cal. School For The Blind,Cal. School For The Blind,Modernization,57/31609-00-001,,,1326687.00,,,310605.00,,,,,,,80,HI,27833964.00,,,,,,,,,1/24/2007,Closed
Alameda,Cal. School For The Deaf - Fremont,Cal. School For The Deaf - Fremont,Modernization,57/31617-00-001,,,5884597.00,,,1580203.00,,,,,,,407,EL,141831200.00,,,,,,,,,3/28/2007,Closed
Riverside,Cal. School For The Deaf - Riverside,Cal. School For The Deaf - Riverside,Modernization,57/31625-00-001,,,7157871.00,,,1685558.00,,,,,,,430,HI,343983921.84,,,,,,,,,8/26/2015,Closed
Alameda,Alameda City Unified,Edison Elementary,Modernization,57/61119-00-001,,,1132220.00,,,166163.00,,,351,,,,,EL,4154824.00,,1038708.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Franklin Elementary,Modernization,57/61119-00-002,,,798034.00,,,111722.00,,,236,,,,,EL,2911220.00,,727804.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Longfellow Elementary,Modernization,57/61119-00-003,,,1475992.00,,,194567.00,,,411,,,,,EL,5345788.00,,1336448.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Lum (donald D.) Elementary,Modernization,57/61119-00-004,,,1158351.00,,,177525.00,,,375,,,,,EL,4274804.00,,1068700.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Miller (george P.) Elementary,Modernization,57/61119-00-005,,,214658.00,,,35505.00,,,75,,,,,EL,2001300.00,,500330.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Otis (frank) Elementary,Modernization,57/61119-00-006,,,1406347.00,,,198828.00,,,420,,,,,EL,5136560.00,,1284140.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Paden (william G.) Elementary,Modernization,57/61119-00-007,,,1304216.00,,,201195.00,,,425,,,,,EL,12043290.00,,3010820.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Washington Elementary,Modernization,57/61119-00-008,,,1709323.00,,,246168.00,,,520,,,,,EL,6257572.00,,1564392.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Woodstock Elementary,Modernization,57/61119-00-009,,,925852.00,,,159062.00,,,336,,,,,EL,8679310.00,,2169830.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Chipman Middle,Modernization,57/61119-00-010,,,1736023.00,,,266426.00,,,,532,,,,MI,16019590.00,,4004900.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Wood (will C.) Middle,Modernization,57/61119-00-011,,,2379615.00,,,400139.00,,,,799,,,,MI,8895212.00,,2223804.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Alameda High,Modernization,57/61119-00-012,,,3725894.00,,,284848.00,,,,,748,,,HI,13492104.00,,2550864.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Encinal High,Modernization,57/61119-00-013,,,5262215.00,,,867359.00,,,,,1323,,,HI,19614636.00,,4903660.00,,,,,,,7/5/2000,Closed
Alameda,Alameda City Unified,Island High,Modernization,57/61119-00-014,,,197152.00,,,144888.00,,,,,70,,,HI,1252248.00,,115912.00,,,,,,,1/22/2003,Closed
Alameda,Alameda City Unified,Lincoln Middle,Modernization,57/61119-00-015,,,2685631.00,,,,,,,812,,,,MI,2685631.00,,,,,,,,,9/28/2005,Closed
Alameda,Alameda City Unified,Miller (george P.) Elementary,Modernization,57/61119-00-016,,,525229.00,,,,,,160,,,,,EL,525229.00,,,,,,,,,9/28/2005,Closed
Alameda,Alameda City Unified,Earhart (amelia) Elementary,Modernization,57/61119-00-017,,,1881079.00,,,,,,582,,,8,,EL,1881079.00,,,,,,,,,9/28/2005,Closed
Alameda,Alameda City Unified,Alameda High,Modernization,57/61119-00-018,,,4958817.00,,,,,,,,878,12,8,HI,4958817.00,,,,,,,,,9/28/2005,Closed
Alameda,Alameda City Unified,Haight Elementary,Modernization,57/61119-00-019,,,2105858.00,,,,,,529,,,,,EL,2105858.00,,,,,,,,,2/22/2006,Closed
Alameda,Alameda City Unified,Edison Elementary,Modernization,57/61119-00-020,,,1294309.00,,,,,,127,,,,,EL,1294309.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Alameda City Unified,Franklin Elementary,Modernization,57/61119-00-021,,,1125253.00,,,,,,109,,,,,EL,1125253.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Alameda City Unified,Lincoln Middle,Modernization,57/61119-00-022,,,405651.00,,,,,,,,,29,,MI,405651.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Alameda City Unified,Alameda High,Modernization,57/61119-00-023,,,1889023.00,,,,,,,,149,2,1,HI,1889023.00,,,,,,,,,10/28/2020,Funds Released
Alameda,Albany Unified,Cornell Elementary,Modernization,57/61127-00-001,,,2399535.00,,,,,,499,,,,,EL,7198605.00,,,,,,,,,5/25/2005,Closed
Alameda,Albany Unified,Marin Elementary,Modernization,57/61127-00-002,,,1626787.00,,,,,,322,,,34,12,EL,3253574.00,,,,,,,,,5/3/2005,Closed
Alameda,Albany Unified,Albany High,Modernization,57/61127-00-003,,,1431071.00,,,,,,,,186,,,HI,2862142.00,,,,,,,,,7/5/2000,Closed
Alameda,Albany Unified,Ocean View Elementary,Modernization,57/61127-00-004,,,1953357.00,,,,,,405,,,26,10,EL,1953357.00,,,,,,,,,1/25/2006,Closed
Alameda,Albany Unified,Macgregor High (cont.),Modernization,57/61127-00-005,,,228524.00,,,,,,,,40,,,HI,228524.00,,,,,,,,,1/25/2006,Closed
Alameda,Albany Unified,Albany High,Modernization,57/61127-00-006,,,2257612.00,,,,,,,,230,,8,HI,2257612.00,,,,,,,,,6/27/2012,Closed
Alameda,Berkeley Unified,Jefferson Primary,Modernization,57/61143-00-001,,,1056885.00,,,,,,355,,,,,EL,1056885.00,,,,,,,,,2/26/2003,Closed
Alameda,Berkeley Unified,Leconte Primary,Modernization,57/61143-00-002,,,1024667.00,,,,,,389,,,,,EL,2049334.00,,,,,,,,,7/5/2000,Closed
Alameda,Berkeley Unified,Oxford Primary,Modernization,57/61143-00-003,,,791484.00,,,,,,301,,,,,EL,1582968.00,,,,,,,,,4/28/1999,Closed
Alameda,Berkeley Unified,Willard Junior High,Modernization,57/61143-00-004,,,1242727.00,,,,,,,439,,,,MI,2485454.00,,,,,,,,,7/5/2000,Closed
Alameda,Berkeley Unified,Longfellow Intermediate,Modernization,57/61143-00-006,,,1529489.00,,,,,,,436,,13,,MI,1529489.00,,,,,,,,,12/18/2002,Closed
Alameda,Berkeley Unified,King Junior High,Modernization,57/61143-00-007,,,2756329.00,,,,,,,879,,26,,MI,2756329.00,,,,,,,,,1/22/2003,Closed
Alameda,Berkeley Unified,King Junior High,Modernization,57/61143-00-008,,,1289072.00,,,,,,,,,,,MI,1289072.00,,,,,,,,,12/18/2002,Closed
Alameda,Berkeley Unified,Berkeley High,Modernization,57/61143-00-009,,,6083560.00,,,,,,,,994,,,HI,6083560.00,,,,,,,,,1/25/2006,Closed
Alameda,Berkeley Unified,Washington Primary,Modernization,57/61143-00-010,,,679138.00,,,,,,97,,,,4,EL,679138.00,,,,,,,,,8/27/2008,Closed
Alameda,Berkeley Unified,Berkeley High,Modernization,57/61143-00-016,,,5332153.00,,,,,,,,497,12,17,HI,10664306.00,,,,,,,,,12/12/2012,Closed
Alameda,Berkeley Unified,Emerson Primary,Modernization,57/61143-00-017,,,559607.00,,,,,,83,,,16,2,EL,559607.00,,,,,,,,,5/22/2013,Closed
Alameda,Berkeley Unified,John Muir,Modernization,57/61143-00-018,,,2832007.00,,,,,,245,,,30,13,EL,2832007.00,,,,,,,,,4/27/2022,100% Completed
Alameda,Berkeley Unified,Berkeley High,Modernization,57/61143-00-019,,,21578621.00,,,,,,,,1355,138,53,HI,21578621.00,,,,,,,,,4/27/2022,100% Completed
Alameda,Berkeley Unified,Jefferson Primary,Modernization,57/61143-00-020,,,1109015.00,,,,,,15,,,29,8,EL,1109015.00,,,,,,,,,4/27/2022,100% Completed
Alameda,Berkeley Unified,Willard Junior High,Modernization,57/61143-00-021,,,2479937.00,,,,,,,268,,10,,MI,2479937.00,,,,,,,,,4/27/2022,100% Completed
Alameda,Berkeley Unified,Longfellow Intermediate,Modernization,57/61143-00-022,,,1246701.00,,,,,,,,,52,14,MI,1246701.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Berkeley Unified,Washington Primary,Modernization,57/61143-00-023,,,1574653.00,,,,,,62,,,47,1,EL,1574653.00,,,,,,,,,11/28/2022,Funds Released
Alameda,Castro Valley Unified,Castro Valley Elementary,Modernization,57/61150-00-001,,,710062.00,,,,,,300,,,,,EL,710062.00,,,,,,,,,7/5/2000,Closed
Alameda,Castro Valley Unified,Marshall Elementary,Modernization,57/61150-00-002,,,875246.00,,,,,,359,,,,,EL,1750492.00,,,,,,,,,7/5/2000,Closed
Alameda,Castro Valley Unified,Vannoy Elementary,Modernization,57/61150-00-003,,,1070286.00,,,,,,439,,,,,EL,2140572.00,,,,,,,,,7/5/2000,Closed
Alameda,Castro Valley Unified,Castro Valley High,Modernization,57/61150-00-004,,,1046824.00,,,,,,,,297,,,HI,1046824.00,,,,,,,,,12/18/2002,Closed
Alameda,Castro Valley Unified,Canyon Middle,Modernization,57/61150-00-005,,,1163125.00,,,,,,,432,,,,MI,1163125.00,,,,,,,,,12/18/2002,Closed
Alameda,Castro Valley Unified,Castro Valley High,Modernization,57/61150-00-006,,,777345.00,,,,,,,,216,,,HI,777345.00,,,,,,,,,2/26/2003,Closed
Alameda,Castro Valley Unified,Castro Valley High,Modernization,57/61150-00-007,,,777345.00,,,,,,,,216,,,HI,777345.00,,,,,,,,,2/26/2003,Closed
Alameda,Castro Valley Unified,Castro Valley High,Modernization,57/61150-00-008,,,403767.00,,,,,,,,108,,,HI,403767.00,,,,,,,,,2/26/2003,Closed
Alameda,Castro Valley Unified,Creekside Middle,Modernization,57/61150-00-009,,,385537.00,,,,,,,135,,,,MI,385537.00,,,,,,,,,2/26/2003,Closed
Alameda,Castro Valley Unified,Castro Valley High,Modernization,57/61150-00-013,,,1867259.00,,,,,,,,477,,,HI,1867259.00,,,,,,,,,4/28/2004,Closed
Alameda,Castro Valley Unified,Canyon Middle,Modernization,57/61150-00-014,,,2820334.00,,,,,,,864,,7,,MI,2820334.00,,,,,,,,,10/26/2005,Closed
Alameda,Castro Valley Unified,Proctor Elementary,Modernization,57/61150-00-015,,,1697103.00,,,,,,425,,,,,EL,1697103.00,,,,,,,,,3/22/2006,Closed
Alameda,Castro Valley Unified,Independent Elementary,Modernization,57/61150-00-016,,,1498220.00,,,,,,400,,,,,EL,1498220.00,,,,,,,,,3/22/2006,Closed
Alameda,Castro Valley Unified,Palomares Elementary,Modernization,57/61150-00-017,,,563342.00,,,,,,128,,,,,EL,563342.00,,,,,,,,,3/22/2006,Closed
Alameda,Castro Valley Unified,Castro Valley High,Modernization,57/61150-00-019,,,927208.00,,,,,,,,108,26,,HI,927208.00,,,,,,,,,3/22/2006,Closed
Alameda,Castro Valley Unified,Chabot Elementary,Modernization,57/61150-00-020,,,2669663.00,,,,,,425,,,,,EL,2669663.00,,,,,,,,,4/28/2010,Closed
Alameda,Castro Valley Unified,Stanton Elementary,Modernization,57/61150-00-021,,,1780014.00,,,,,,350,,,,,EL,1780014.00,,,,,,,,,4/28/2010,Closed
Alameda,Castro Valley Unified,Creekside Middle,Modernization,57/61150-00-022,,,3584440.00,,,,,,,450,,57,,MI,3584440.00,,,,,,,,,12/15/2010,Closed
Alameda,Castro Valley Unified,Castro Valley High,Modernization,57/61150-00-023,,,2299820.00,,,,,,,,245,4,14,HI,2299820.00,,,,,,,,,5/22/2013,Closed
Alameda,Castro Valley Unified,Redwood Continuation High,Modernization,57/61150-00-024,,,1279208.00,,,,,,,,170,,,HI,1279208.00,,,,,,,,,10/14/2013,Closed
Alameda,Castro Valley Unified,Canyon Middle,Modernization,57/61150-00-025,,,1600767.00,,,,,,,93,,26,14,MI,1600767.00,,,,,,,,,4/27/2022,Funds Released
Alameda,Castro Valley Unified,Castro Valley High,Modernization,57/61150-00-026,,,3557617.00,,,,,,,,265,4,1,HI,3557617.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Castro Valley Unified,Castro Valley High,Modernization,57/61150-00-027,,,6397149.00,,,,,,,,492,1,,HI,6397149.00,,,,,,,,,11/28/2022,Funds Released
Alameda,Castro Valley Unified,Palomares Elementary,Modernization,57/61150-00-028,,,240518.00,,,,,,29,,,,,EL,240518.00,,,,,,,,,11/28/2022,Funds Released
Alameda,Castro Valley Unified,Creekside Middle,Modernization,57/61150-00-029,,,1552784.00,,,,,,,159,,,,MI,1552784.00,,,,,,,,,8/23/2023,Funds Released
Alameda,Emery Unified,Emery Middle,Modernization,57/61168-00-001,,,559848.50,,,,,,,216,,,,MI,1119697.00,,,,,,,,,4/28/1999,Closed
Alameda,Emery Unified,Anna Yates Elementary,Modernization,57/61168-00-002,,,925069.00,,,,,,370,,,,,EL,1850138.00,,,,,,,,,7/5/2000,Closed
Alameda,Emery Unified,Emery Secondary,Modernization,57/61168-00-003,,,1062085.50,,,,,,,,302,,,HI,2124171.00,,,,,,,,,7/5/2000,Closed
Alameda,Emery Unified,Anna Yates Elementary,Modernization,57/61168-00-004,,,459242.00,,,,,,,,,33,2,EL,459242.00,,,,,,,,,9/24/2008,Closed
Alameda,Fremont Unified,Centerville Junior High,Modernization,57/61176-00-001,,,2021439.50,,,,,,,861,,,,MI,2021439.50,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Glenmoor Elementary,Modernization,57/61176-00-002,,,924807.00,,,,,,422,,,,,EL,924807.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Vallejo Mill Elementary,Modernization,57/61176-00-003,,,909703.00,,,,,,425,,,,,EL,909703.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Washington High,Modernization,57/61176-00-004,,,4365707.50,,,,,,,,1404,,,HI,4365707.50,,,,,,,,,4/28/1999,Closed
Alameda,Fremont Unified,Walters (g. M.) Junior High,Modernization,57/61176-00-005,,,2031479.00,,,,,,,905,,,,MI,2031479.00,,,,,,,,,6/23/1999,Closed
Alameda,Fremont Unified,Irvington High,Modernization,57/61176-00-006,,,5152359.00,,,,,,,,1745,,,HI,5152359.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Mission San Jose High,Modernization,57/61176-00-008,,,6003488.00,,,,,,,,2024,,,HI,6003488.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Robertson Continuation High,Modernization,57/61176-00-009,,,928896.00,,,,,,,,346,,,HI,928896.00,,,,,,,,,6/23/1999,Closed
Alameda,Fremont Unified,Thornton Junior High,Modernization,57/61176-00-010,,,1353144.00,,,,,,,621,,,,MI,1353144.00,,,,,,,,,6/23/1999,Closed
Alameda,Fremont Unified,Horner (john M.) Junior High,Modernization,57/61176-00-011,,,1860150.00,,,,,,,852,,,,MI,1860150.00,,,,,,,,,8/25/1999,Closed
Alameda,Fremont Unified,Patterson Elementary,Modernization,57/61176-00-013,,,799120.00,,,,,,375,,,,,EL,799120.00,,,,,,,,,5/26/1999,Closed
Alameda,Fremont Unified,Warm Springs Elementary,Modernization,57/61176-00-014,,,1006114.00,,,,,,500,,,,,EL,1006114.00,,,,,,,,,6/23/1999,Closed
Alameda,Fremont Unified,Parkmont Elementary,Modernization,57/61176-00-015,,,1095557.00,,,,,,532,,,,,EL,1095557.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Oliveira Elementary,Modernization,57/61176-00-016,,,866003.00,,,,,,425,,,,,EL,866003.00,,,,,,,,,6/23/1999,Closed
Alameda,Fremont Unified,Niles Elementary,Modernization,57/61176-00-017,,,673322.00,,,,,,348,,,,,EL,673322.00,,,,,,,,,6/23/1999,Closed
Alameda,Fremont Unified,Mission Valley Elementary,Modernization,57/61176-00-018,,,1156642.00,,,,,,550,,,,,EL,1156642.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Mission San Jose Elementary,Modernization,57/61176-00-019,,,790691.00,,,,,,383,,,,,EL,790691.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Leitch (james) Elementary,Modernization,57/61176-00-021,,,585961.00,,,,,,275,,,,,EL,585961.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Hirsch (o. N.) Elementary,Modernization,57/61176-00-022,,,716534.00,,,,,,350,,,,,EL,716534.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Grimmer (e. M.) Elementary,Modernization,57/61176-00-023,,,1130932.00,,,,,,562,,,,,EL,1130932.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Green (harvey) Elementary,Modernization,57/61176-00-024,,,939942.00,,,,,,450,,,,,EL,939942.00,,,,,,,,,5/26/1999,Closed
Alameda,Fremont Unified,Durham (j. Haley) Elementary,Modernization,57/61176-00-025,,,1095299.00,,,,,,533,,,,,EL,1095299.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Blacow (john) Elementary,Modernization,57/61176-00-026,,,1430624.00,,,,,,698,,,,,EL,1430624.00,,,,,,,,,6/23/1999,Closed
Alameda,Fremont Unified,Brier Elementary,Modernization,57/61176-00-027,,,1005879.00,,,,,,475,,,,,EL,1005879.00,,,,,,,,,8/25/1999,Closed
Alameda,Fremont Unified,Cabrillo Elementary,Modernization,57/61176-00-028,,,926809.00,,,,,,450,,,,,EL,926809.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Chadbourne (joshua) Elementary,Modernization,57/61176-00-029,,,1222721.00,,,,,,563,,,,,EL,1222721.00,,,,,,,,,7/5/2000,Closed
Alameda,Fremont Unified,Millard (steven) Elementary,Modernization,57/61176-00-030,,,980714.00,,,,,,492,,,,,EL,980714.00,,,,,,,,,3/24/1999,Closed
Alameda,Fremont Unified,Mattos (john G.) Elementary,Modernization,57/61176-00-031,,,785262.00,,,,,,395,,,,,EL,785262.00,,,,,,,,,6/23/1999,Closed
Alameda,Fremont Unified,Maloney (tom) Elementary,Modernization,57/61176-00-032,,,1275112.00,,,,,,375,,,,36,EL,1275112.00,,,,,,,,,4/28/2004,Closed
Alameda,Fremont Unified,Hopkins (william) Junior High,Modernization,57/61176-00-033,,,3111746.00,,,,,,,1072,,11,,MI,3111746.00,,,,,,,,,4/28/2004,Closed
Alameda,Fremont Unified,Kennedy (john F.) High,Modernization,57/61176-00-034,,,5361865.00,,,,,,,,1350,39,18,HI,5361865.00,,,,,,,,,4/28/2004,Closed
Alameda,Fremont Unified,Azeveda (joseph) Elementary,Modernization,57/61176-00-035,,,1353939.00,,,,,,475,,,,,EL,1353939.00,,,,,,,,,2/23/2005,Closed
Alameda,Fremont Unified,Gomes (john M.) Elementary,Modernization,57/61176-00-036,,,1494754.00,,,,,,525,,,,,EL,1494754.00,,,,,,,,,2/23/2005,Closed
Alameda,Fremont Unified,Ardenwood Elementary,Modernization,57/61176-00-037,,,1616101.00,,,,,,392,,,,,EL,1616101.00,,,,,,,,,12/15/2010,Closed
Alameda,Fremont Unified,Irvington High,Modernization,57/61176-00-038,,,1842795.00,,,,,,,,104,7,20,HI,1842795.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Fremont Unified,Washington High,Modernization,57/61176-00-039,,,572879.00,,,,,,,,,7,21,HI,572879.00,,,,,,,,,2/22/2023,Funds Released
Alameda,Fremont Unified,Oliveira Elementary,Modernization,57/61176-00-040,,,729262.00,,,,,,101,,,,,EL,729262.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Fremont Unified,Patterson Elementary,Modernization,57/61176-00-041,,,624921.00,,,,,,101,,,,,EL,624921.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Fremont Unified,Parkmont Elementary,Modernization,57/61176-00-042,,,808097.00,,,,,,101,,,,,EL,808097.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Fremont Unified,Mission San Jose Elementary,Modernization,57/61176-00-044,,,1137706.00,,,,,,,,87,2,1,HI,1137706.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Fremont Unified,Green (harvey) Elementary,Modernization,57/61176-00-045,,,671294.00,,,,,,101,,,,,EL,671294.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Fremont Unified,Forest Park Elementary,Modernization,57/61176-00-046,,,607691.00,,,,,,102,,,,,EL,607691.00,,,,,,,,,11/28/2022,Funds Released
Alameda,Fremont Unified,Chadbourne (joshua) Elementary,Modernization,57/61176-00-048,,,689844.00,,,,,,101,,,,,EL,689844.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Fremont Unified,Warwick Elementary,Modernization,57/61176-00-049,,,752255.00,,,,,,122,,,2,,EL,752255.00,,,,,,,,,11/28/2022,Funds Released
Alameda,Fremont Unified,Cabrillo Elementary,Modernization,57/61176-00-051,,,546158.00,,,,,,,,,40,,EL,546158.00,,,,,,,,,10/26/2022,Funds Released
Alameda,Fremont Unified,Niles Elementary,Modernization,57/61176-00-052,,,600638.00,,,,,,101,,,,,EL,600638.00,,,,,,,,,11/28/2022,Funds Released
Alameda,Fremont Unified,Mission Valley Elementary,Modernization,57/61176-00-053,,,1684138.00,,,,,,146,,,25,,EL,1684138.00,,,,,,,,,11/28/2022,Funds Released
Alameda,Fremont Unified,Oliveira Elementary,Modernization,57/61176-00-054,,,2376105.00,,,,,,258,,,20,,EL,2376105.00,,,,,,,,,11/28/2022,Funds Released
Alameda,Fremont Unified,Horner (john M.) Junior High,Modernization,57/61176-00-055,,,4898947.00,,,,,,,376,,,20,MI,4898947.00,,,,,,,,,5/31/2023,Funds Released
Alameda,Hayward Unified,East Avenue Elementary,Modernization,57/61192-00-001,,,337451.00,,,,,,125,,,,,EL,337451.00,,,,,,,,,7/2/2003,Closed
Alameda,Hayward Unified,Burbank Elementary,Modernization,57/61192-00-002,,,913043.00,,,,,,200,,,,9,EL,913043.00,,,,,,,,,9/26/2007,Closed
Alameda,Hayward Unified,Hayward High,Modernization,57/61192-00-003,,,10697991.00,,,,,,,,1105,,,HI,10697991.00,,,,,,,,,10/27/2021,Funds Released
Alameda,Hayward Unified,Tennyson High,Modernization,57/61192-00-004,,,3292926.00,,,,,,,,382,3,2,HI,3292926.00,,,,,,,,,10/27/2021,Funds Released
Alameda,Hayward Unified,Mt. Eden High,Modernization,57/61192-00-005,,,11418339.00,,,,,,,,1154,,11,HI,11418339.00,,,,,,,,,10/27/2021,Funds Released
Alameda,Livermore Valley Joint Unified,East Avenue Middle,Modernization,57/61200-00-001,,,1051680.00,,,,,,,420,,,,MI,1051680.00,,,,,,,,,7/5/2000,Closed
Alameda,Livermore Valley Joint Unified,East Avenue Middle,Modernization,57/61200-00-002,,,501051.00,,,,,,,174,,,,MI,1002102.00,,,,,,,,,7/5/2000,100% Completed
