OBJECTID,WSR_NAME,WSR_CLASS,ORV,CASEFILE,DSG_MILES,BLM_ORG_CD,GIS_MILES,SHAPE_Length
570,Powder River,SCENIC,FISH/PREH/REC/SCENIC/WLDL,OROR 044741,,ORV05,0.24712742,0.00471298212260685
571,Deschutes River Segment A,REC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,0.13190502,0.00232242869002906
572,Deschutes River Segment B,SCENIC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,0.47010528,0.00731340897946976
573,Deschutes River Segment A,REC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,0.1332125,0.00249937472537197
574,Deschutes River Segment A,REC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,0.7460594,0.012709987802657
575,Grande Ronde River Segment D,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044718,,ORV05,0.6564956,0.0101644193558141
576,Wallowa River,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044761,,ORV05,0.03238757,0.000473346327990928
577,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.06606228,0.000977049416331889
578,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.14246564,0.00245067081535007
579,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.13286773,0.00226960778529084
580,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.01233414,0.000216785285838316
581,Deschutes River Segment A,REC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,0.05033599,0.000999660977305992
582,Deschutes River Segment A,REC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,0.02118326,0.000307547162042852
583,Deschutes River Segment A,REC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,0.09668166,0.00157644895557322
584,Deschutes River Segment A,REC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,0.02463184,0.000398758579326429
585,Deschutes River Segment A,REC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,0.05577008,0.000840536087559894
586,Deschutes River Segment A,REC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,0.04229871,0.000750752923495499
587,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.17507118,0.0032213658579027
588,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.09563216,0.00166605329673663
589,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.02268126,0.000399878244753857
590,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.26069813,0.00498618310672545
591,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.29943896,0.00528611894127442
592,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.12058962,0.00236714915628041
593,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.30237113,0.00586880865290811
594,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.0259857,0.00050071126668024
595,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.21378128,0.00386191873605248
596,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.06886524,0.00134767963411638
597,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.01766498,0.000295151984866498
598,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.09917333,0.00192928660026637
599,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.08500735,0.00164168224016587
600,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.79857745,0.0137874580500441
601,Owyhee River (South and Upper),WILD,GEOL/HIST/PREH/REC/SCENIC/WLDL,OROR 038026,,ORV00,0.63911554,0.00978499831697278
602,Grande Ronde River Segment B,WILD,FISH/PREH/REC/SCENIC/WLDL,OROR 044719,,ORV05,0.16458522,0.00279352323265378
603,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.75738234,0.0135798863267363
604,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,2.27147934,0.0403300760745017
605,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.17974276,0.00295720202747828
606,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.86876589,0.0166237451796426
607,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.25647852,0.00419513463974939
608,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.28167904,0.00435139195953588
609,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,1.40160169,0.0244947626632236
610,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.17422384,0.00341309963768059
611,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,1.42509463,0.0256740478020305
612,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.23006307,0.00407043843979738
613,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.0167115,0.00030125019143142
614,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.464349,0.00887821842838564
615,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.13673885,0.00276698772672198
616,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.17636465,0.0029108651004409
617,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.10307184,0.00181316676324942
618,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.8779169,0.0146317663265384
619,Wallowa River,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044761,,ORV05,0.52212483,0.0097803348869191
620,Wallowa River,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044761,,ORV05,0.67329526,0.0123575659146367
621,Wallowa River,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044761,,ORV05,1.321866,0.0218489826185221
622,Wallowa River,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044761,,ORV05,0.4924868,0.00941814602180664
623,Wallowa River,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044761,,ORV05,1.37299009,0.0232549233618344
624,Wallowa River,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044761,,ORV05,0.03616222,0.000722371278422614
625,Wallowa River,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044761,,ORV05,0.44971975,0.00858447888534512
626,Deschutes River Segment C,REC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,40.0598376,0.697657141580881
627,Deschutes River Segment B,SCENIC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,9.63979337,0.168576677241857
628,Deschutes River Segment B,SCENIC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,0.05042522,0.000831146018047695
629,Deschutes River Segment A,REC,FISH/REC/SCENIC/WLDL,OROR 044714,,ORP06,0.64257634,0.0111372149010455
630,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.05002687,0.00095165586173165
631,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.05866546,0.00109549829688894
632,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.09181085,0.00177947191754888
633,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.08668787,0.00165212613201203
