OBJECTID,PLANID,BLM_ORG_CD,OHV_DSG,DSG_REASON,RESTRICT_,RESTRICT_DETAIL,SHAPE_Length,SHAPE_Area
1106,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.038932771644825,7.13408537067131e-05
1107,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0486148462913339,0.000106617711311501
1108,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0170549506650329,1.77775341358266e-05
1109,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.068217141053439,0.000195543648830232
1110,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.095175804447701,0.000278284912787463
1111,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0521212354448011,0.000109536450203008
1112,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.00475656732579327,9.25226989983999e-07
1113,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.017081433492063,1.78361502691707e-05
1114,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0231327649038069,2.68974089942351e-05
1115,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0163371445573229,1.51425773456082e-05
1116,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0701223426472709,0.000246249207941768
1117,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.00733819726362198,1.878618832888e-06
1118,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0436926507631558,4.11402173890928e-05
1119,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0265957256437177,2.6957533631802e-05
1120,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0174982473609384,1.73903502446415e-05
1121,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0171488769875348,1.79690421617422e-05
1122,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.0271853018291932,3.63020251554417e-05
1123,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0171294284401349,1.79725092125627e-05
1124,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0269565207483397,3.58962495324669e-05
1125,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.058540148883796,0.000107178944687393
1126,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.317749930454731,0.00109419306068237
1127,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0244219118223828,3.58492741162707e-05
1128,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0828634674684621,0.000289042728376921
1129,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0683253282299763,0.000195156726748724
1130,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.0535554001981259,0.000106436461879666
1131,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0585012322972553,0.000213212127882299
1132,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ACEC,,,0.0258963948942416,2.79472891840953e-05
