OBJECTID,GEOID10,DistrictName,FreeEligible,ReducedEligible,NotEligible,Total,FreeReducedEligible,PCT_Free,PCT_Reduced,PCT_FreeReduced,Shape__Area,Shape__Length
154,2612300,Dundee Community Schools,515,81,1021,1617,596,0.318491032776747,0.0500927643784787,0.368583797155226,2040120563.51416,302220.330671617
155,2612330,Durand Area Schools,638,120,608,1366,758,0.46705710102489,0.0878477306002928,0.554904831625183,1781520064.81396,322587.08116087
156,2612420,East China School District,1135,173,2788,4096,1308,0.277099609375,0.042236328125,0.3193359375,3618799549.86084,373952.708031743
157,2612450,East Detroit Public Schools,3129,133,611,3873,3262,0.807900852052672,0.0343403046733798,0.842241156726052,169984743.180176,56592.7556442492
158,2612480,East Grand Rapids Public Schools,170,24,2705,2899,194,0.0586409106588479,0.00827871679889617,0.066919627457744,102962240.157227,47587.2440493738
159,2612540,East Jackson Community Schools,607,57,290,954,664,0.636268343815514,0.059748427672956,0.69601677148847,983174309.005371,230778.124645592
160,2612600,East Lansing School District,1094,186,2306,3586,1280,0.305075292805354,0.0518683770217513,0.356943669827105,398074690.16748,146663.052585621
161,2612690,Eaton Rapids Public Schools,1102,256,1189,2547,1358,0.432665881429132,0.10051040439733,0.533176285826462,3338364622.32935,592670.852759989
162,2612810,Eau Claire Public Schools,721,30,85,836,751,0.86244019138756,0.0358851674641148,0.898325358851675,1394159132.86206,249264.504169601
163,2612930,Ecorse Public School District,834,7,195,1036,841,0.805019305019305,0.00675675675675676,0.811776061776062,98592179.3164063,44376.1937638766
164,2612990,Edwardsburg Public Schools,732,159,1843,2734,891,0.267739575713241,0.0581565471836138,0.325896122896854,1782803599.95203,246123.635246974
165,2613050,Elk Rapids Schools,399,60,1059,1518,459,0.262845849802372,0.0395256916996047,0.302371541501976,3606272476.92871,404900.886890633
166,2613090,Elkton-Pigeon-Bay Port Laker Schools,393,61,458,912,454,0.430921052631579,0.0668859649122807,0.49780701754386,5507426202.37695,866577.369416539
167,2613110,Ellsworth Community School,128,22,115,265,150,0.483018867924528,0.0830188679245283,0.566037735849057,1274800744.2207,178213.223543151
168,2615600,Engadine Consolidated Schools,111,32,92,235,143,0.472340425531915,0.136170212765957,0.608510638297872,12477570023.3555,725232.961012307
169,2613500,Escanaba Area Public Schools,1178,175,1183,2536,1353,0.464511041009464,0.069006309148265,0.533517350157729,5082519739.88086,638033.781660259
170,2613530,Essexville-Hampton Public Schools,697,62,1115,1874,759,0.371931696905016,0.0330843116328709,0.405016008537887,539557365.883789,219726.359559102
171,2613560,Evart Public Schools,652,42,277,971,694,0.671472708547889,0.043254376930999,0.714727085478888,5599658669.13672,593131.658940606
172,2600014,Ewen-Trout Creek Consolidated School District,106,16,82,204,122,0.519607843137255,0.0784313725490196,0.598039215686274,19278740961.5449,768256.544990516
173,2610560,Fairview Area School District,188,39,73,300,227,0.626666666666667,0.13,0.756666666666667,8992755371.89063,506365.305221818
174,2614070,Farmington Public School District,2150,330,6736,9216,2480,0.233289930555556,0.0358072916666667,0.269097222222222,967820214.0625,135321.107592878
175,2614100,Farwell Area Schools,767,79,391,1237,846,0.620048504446241,0.0638641875505255,0.683912691996766,5149018504.37793,515199.47178402
176,2614230,Fennville Public Schools,273,68,99,440,341,0.620454545454545,0.154545454545455,0.775,3181103953.11865,343026.955125302
177,2614250,Fenton Area Public Schools,831,164,2412,3407,995,0.243909597886704,0.0481361901966539,0.292045788083358,1041418904.48779,185073.889491848
178,2614280,Ferndale Public Schools,1661,185,1093,2939,1846,0.56515821708064,0.0629465804695475,0.628104797550187,129272816.964355,51485.9784687593
179,2614460,Fitzgerald Public Schools,2850,174,397,3421,3024,0.833089739842151,0.050862320958784,0.883952060800935,128430304.734863,52755.477991058
180,2607080,Flat Rock Community Schools,1001,82,1281,2364,1083,0.423434856175973,0.0346869712351946,0.458121827411168,210915938.151611,103094.028538825
181,2614520,Flint City School District,6422,119,545,7086,6541,0.906294101044313,0.0167936776742873,0.9230877787186,848422123.286621,139537.502521629
182,2614550,Flushing Community Schools,1631,271,2387,4289,1902,0.380275122406155,0.0631848915831196,0.443460013989275,1525148433.93311,215760.062488125
183,2614570,Forest Area Community Schools,319,42,148,509,361,0.62671905697446,0.0825147347740668,0.709233791748527,3219954027.75977,394586.902642821
184,2614610,Forest Hills Public Schools,1995,337,9316,11648,2332,0.171274038461538,0.0289320054945055,0.200206043956044,1696794806.61816,398832.471919419
185,2611190,Forest Park School District,180,35,202,417,215,0.431654676258993,0.0839328537170264,0.515587529976019,17828231672.291,636933.857141114
186,2614700,Fowler Public Schools,93,20,384,497,113,0.187122736418511,0.0402414486921529,0.227364185110664,1498763553.58984,382413.213236252
187,2614730,Fowlerville Community Schools,849,171,1833,2853,1020,0.297581493165089,0.0599369085173502,0.35751840168244,3257184703.73975,481851.895202686
188,2614760,Frankenmuth School District,218,45,1012,1275,263,0.170980392156863,0.0352941176470588,0.206274509803922,1887500679.22852,242399.889754693
189,2614790,Frankfort-Elberta Area Schools,213,24,218,455,237,0.468131868131868,0.0527472527472527,0.520879120879121,1392572495.98535,226807.403799324
190,2614820,Fraser Public Schools,2343,407,3002,5752,2750,0.407336578581363,0.0707579972183588,0.478094575799722,227288354.851074,73446.8208246694
191,2615060,Freeland Community School District,296,49,1613,1958,345,0.151174668028601,0.0250255362614913,0.176200204290092,1299038884.58594,203688.479424407
192,2615150,Fremont Public School District,996,198,962,2156,1194,0.461966604823748,0.0918367346938776,0.553803339517625,4240431886.86523,495872.28692636
193,2615390,Fruitport Community Schools,1270,221,1239,2730,1491,0.465201465201465,0.080952380952381,0.546153846153846,1340549177.47998,214539.537602613
194,2615420,Fulton Schools,375,35,339,749,410,0.500667556742323,0.0467289719626168,0.54739652870494,2907420599.35449,616719.223243441
195,2615450,Galesburg-Augusta Community Schools,505,76,480,1061,581,0.475966069745523,0.0716305372290292,0.547596606974552,1490841899.14551,246016.135874315
196,2615540,Garden City School District,2400,237,1420,4057,2637,0.591570125708652,0.0584175499137294,0.649987675622381,165278701.410156,58633.3365800972
197,2615730,Gaylord Community Schools,1414,161,1519,3094,1575,0.457013574660633,0.0520361990950226,0.509049773755656,7778050390.54688,601102.387773123
198,2615870,Gibraltar School District,968,123,2589,3680,1091,0.26304347826087,0.0334239130434783,0.296467391304348,703041053.227539,153468.89395298
199,2615970,Gladstone Area Schools,582,56,952,1590,638,0.366037735849057,0.0352201257861635,0.40125786163522,2494201939.16992,290884.876064148
200,2615990,Gladwin Community Schools,863,108,713,1684,971,0.512470308788599,0.0641330166270784,0.576603325415677,6181517492.14258,486444.213422463
201,2616020,Glen Lake Community Schools,167,36,496,699,203,0.238912732474964,0.0515021459227468,0.290414878397711,4695577098.16602,431197.415332124
202,2616050,Gobles Public School District,2,0,7,9,2,0.222222222222222,0,0.222222222222222,1579304648.15503,215493.364843523
203,2616080,Godfrey-Lee Public Schools,1644,96,108,1848,1740,0.88961038961039,0.051948051948052,0.941558441558442,40170647.3256836,32759.0530942139
204,2616110,Godwin Heights Public Schools,2271,256,348,2875,2527,0.789913043478261,0.0890434782608696,0.87895652173913,103416848.865234,63815.5508243008
205,2616320,Goodrich Area Schools,402,50,1604,2056,452,0.195525291828794,0.0243190661478599,0.219844357976654,1348685609.51855,336348.883735987
206,2616350,Grand Blanc Community Schools,3217,531,5932,9680,3748,0.332334710743802,0.0548553719008264,0.387190082644628,1086385742.51367,190704.990911776
207,2616380,Grand Haven Area Public Schools,1953,467,4392,6812,2420,0.286699941280094,0.0685554903112155,0.355255431591309,2496973514.9043,333781.769176321
208,2616410,Grand Ledge Public Schools,1715,320,3963,5998,2035,0.28592864288096,0.053351117039013,0.339279759919973,3341456139.82275,619024.306770985
209,2616440,Grand Rapids Public Schools,15390,1093,4532,21015,16483,0.732334047109208,0.0520104687128242,0.784344515822032,1200750234.05078,306727.638791598
210,2616470,Grandville Public Schools,1453,389,3779,5621,1842,0.258494929727806,0.0692047678349048,0.327699697562711,1116990926.49561,245992.699126198
211,2616500,Grant Public School District,985,116,745,1846,1101,0.533586132177681,0.0628385698808234,0.596424702058505,3277719475.33105,508539.526701048
212,2616830,Grass Lake Community Schools,305,43,906,1254,348,0.243221690590112,0.0342902711323764,0.277511961722488,1804495340.31152,276640.243088528
213,2617160,Greenville Public Schools,1751,293,1841,3885,2044,0.450707850707851,0.0754182754182754,0.526126126126126,3748532096.5918,461648.59038727
