zip,eiaid,utilityname,statevalue,servicetype,ownership,commrate,indrate,resrate
53594.0,20182.0,Waterloo Light & Water Comm,WI,Bundled,Municipal,0.1044216895508494,0.0,0.1118616652545636
57201.0,20187.0,Watertown Municipal Utilities,SD,Bundled,Municipal,0.0823178834615229,0.0697299665196032,0.0896383952500721
53597.0,20211.0,Village of Waunakee - (WI),WI,Bundled,Municipal,0.1060913605549424,0.0774013402829486,0.1123683682222181
53963.0,20213.0,Waupun Utilities,WI,Bundled,Municipal,0.1011156938963235,0.0693526366687525,0.1118281569648503
47390.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47006.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47380.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47353.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47060.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47339.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47394.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47003.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47012.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47368.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47024.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47387.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47393.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47357.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47358.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47360.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47362.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47035.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47325.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47320.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47016.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47340.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47392.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47327.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47324.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47345.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47331.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47330.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47010.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47346.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47030.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47354.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47355.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47374.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
47341.0,20216.0,Whitewater Valley Rural EMC,IN,Bundled,Cooperative,0.1144165492506724,0.0890683111351282,0.1342954415353559
62834.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62824.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62851.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62863.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62817.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
62895.0,20222.0,Wayne-White Counties Elec Coop,IL,Bundled,Cooperative,0.1163231164485869,0.0766071611078935,0.1509275313807531
