SECTION_NUMBER,ON_STREET,FROM_STREET,TO_STREET,LENGTH,COUNT_,CURRENT_PQI,MEASURED_PQI,PQI_DATE,CLASS,YEAR,ObjectId
13030,WILLOW DR,MYRNA LN,CAROLINE LN,314,2,20.1,25.7,2021/03/20 07:00:00+00,Local,2021,855
10750,MILL AV,RAY RD,EVELYN LN,181,2,26,34.2,2021/03/18 07:00:00+00,Collector,2021,856
9770,W MYRNA LN,BECK AVE,W JEANINE DR,456,2,59.1,65.8,2021/03/18 07:00:00+00,Local,2021,857
10260,STACEY LN,DROMEDARY DR,LARONA LN,619,2,22,27.9,2021/03/18 07:00:00+00,Local,2021,858
11260,PALM DR,AMANDA LN,END,257,2,38.7,46.4,2021/03/18 07:00:00+00,Local,2021,859
12540,STANLEY PL,CITY LIMIT,DEL SOL DR,151,2,19.5,25,2021/03/18 07:00:00+00,Local,2021,860
13040,CAROLINE LN,WILLOW DR,ALDER DR,897,2,23.4,29.7,2021/03/20 07:00:00+00,Local,2021,861
9780,W MYRNA LN,W JEANINE DR,HARDY DR,709,2,54.3,61.2,2021/03/18 07:00:00+00,Local,2021,862
10760,MILL AV,EVELYN LN,MARIA LN,782,2,62.9,70.8,2021/03/18 07:00:00+00,Collector,2021,863
10270,STACEY LN,LARONA LN,DATELAND DR,403,2,24.5,30.8,2021/03/18 07:00:00+00,Local,2021,864
11270,AMANDA LN,LA ROSA DR,PALM DR,389,2,22.7,28.9,2021/03/18 07:00:00+00,Local,2021,865
12550,STANLEY PL,DEL SOL DR,KNOX RD,1193,2,25.7,32.3,2021/03/18 07:00:00+00,Local,2021,866
13050,CAROLINE LN,ALDER DR,MCCLINTOCK DR,237,2,20.5,26.2,2021/03/20 07:00:00+00,Local,2021,867
9790,W MYRNA LN,W JEANINE DR,HARDY DR,177,2,47.2,54.9,2021/03/18 07:00:00+00,Local,2021,868
10770,MILL AV,MARIA LN,ALEXANDER BL,479,2,58.1,66.9,2021/03/18 07:00:00+00,Collector,2021,869
10280,DATELAND DR,STACEY LN,WARNER RANCH DR,245,2,23,29.2,2021/03/18 07:00:00+00,Local,2021,870
11280,VERA LN,LA ROSA DR,PALM DR,498,2,33.3,40.6,2021/03/18 07:00:00+00,Local,2021,871
12560,STANLEY PL,KNOX RD,E JEANINE DR,223,2,58.9,65.5,2021/03/18 07:00:00+00,Local,2021,872
13060,CAROLINE LN,LAKESHORE DR,JUNIPER ST,1007,2,43.4,51.2,2021/03/20 07:00:00+00,Local,2021,873
9800,W JEANINE DR,W MYRNA LN,W MYRNA LN,1056,2,61.4,68.2,2021/03/18 07:00:00+00,Local,2021,874
9810,HARDY DR,SOUTH END,W MYRNA LN,421,2,84.3,88,2021/03/18 07:00:00+00,Collector,2021,875
9820,HARDY DR,W MYRNA LN,RANCH RD,1597,2,89.3,91.6,2021/03/18 07:00:00+00,Collector,2021,876
9830,HARDY DR,RANCH RD,WARNER RD,668,2,82.5,86.2,2021/03/18 07:00:00+00,Collector,2021,877
9840,HARDY DR,WARNER RD,CARVER RD,2653,3,27.4,35.9,2021/03/18 07:00:00+00,Collector,2021,878
9850,HARDY DR,CARVER RD,AUTO DR,552,3,48.8,58.4,2021/03/18 07:00:00+00,Collector,2021,879
9860,HARDY DR,AUTO DR,ELLIOT RD,2111,3,64.7,71.1,2021/03/18 07:00:00+00,Collector,2021,880
9870,HARDY DR,ELLIOT RD,W CHILTON DR,959,2,37.6,48,2021/03/18 07:00:00+00,Collector,2021,881
