STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR,Shape_Length,Shape_Area,OBJECTID
06, ,42480, ,0642480,Whittier Union High School District,00,09,12, ,E,103986863,673334,+33.9670928,-118.0376700,2018,2017-2018,0.525672632594301,0.0102093394415017,85
06, ,06022, ,0606022,Santa Paula Unified School District (9-12),00,09,12,A,F,204076384,2307057,+34.4215163,-119.0670068,2018,2017-2018,1.09082608175359,0.0202394231529869,86
06, ,05940, ,0605940,Bret Harte Union High School District,00,09,12, ,E,1101583207,13449989,+38.1478436,-120.4651598,2018,2017-2018,2.93931516844154,0.114601102151491,87
06, ,11780, ,0611780,East Nicolaus Joint Union High School District,00,09,12, ,E,379114748,3100338,+38.8548216,-121.5333568,2018,2017-2018,1.05780753636858,0.0396675486789997,88
06, ,38610, ,0638610,Sutter Union High School District,00,09,12, ,E,619800581,4762686,+39.0624282,-121.7735887,2018,2017-2018,1.91732876058366,0.0650007495664992,89
06, ,34980, ,0634980,San Mateo Union High School District,00,09,12, ,E,162216762,122120239,+37.5794262,-122.3303037,2018,2017-2018,0.938925492253795,0.0174347313677449,90
06, ,36390, ,0636390,Sequoia Union High School District,00,09,12, ,E,256592647,63013904,+37.4640935,-122.2255367,2018,2017-2018,1.03539687345401,0.0269371289352001,91
06, ,19650, ,0619650,South Monterey County Joint Union High School District,00,09,12, ,E,4844500346,60074490,+36.1143669,-121.0487966,2018,2017-2018,4.15153400953806,0.490950863492509,92
06, ,33980, ,0633980,Salinas Union High School District,00,07,12, ,E,668548234,4574842,+36.6531598,-121.6153223,2018,2017-2018,1.81134147907731,0.0678351172959948,93
06, ,16500, ,0616500,Hanford Joint Union High School District,00,09,12, ,E,649033555,189281,+36.3047466,-119.6141167,2018,2017-2018,1.41450851279603,0.0651395781295011,94
06, ,21400, ,0621400,Lemoore Union High School District,00,09,12, ,E,661401589,311121,+36.2331345,-119.8435592,2018,2017-2018,1.30291234520227,0.0663305961100028,95
06, ,30750, ,0630750,Placer Union High School District,00,09,12, ,E,2200817037,25227691,+39.0715279,-120.7122179,2018,2017-2018,3.51683733726985,0.231706522519496,96
06, ,33630, ,0633630,Roseville Joint Union High School District,00,09,12, ,E,183514559,12566950,+38.7640574,-121.2964683,2018,2017-2018,1.01469933741259,0.0203229497174983,97
06, ,06013, ,0606013,Turlock Unified School District (9-12),00,09,12,A,F,190107914,477368,+37.4823431,-120.9537302,2018,2017-2018,0.895582619422238,0.0194154166345004,98
06, ,06021, ,0606021,Bishop Unified School District (9-12),00,09,12,A,F,476790136,4512133,+37.4054387,-118.6301034,2018,2017-2018,1.20353967999553,0.0489778858480051,99
06, ,36940, ,0636940,Siskiyou Union High School District,00,09,12, ,E,5528944974,25161542,+41.4249155,-122.5772962,2018,2017-2018,6.40502391421736,0.599142290451502,100
06, ,43410, ,0643410,Yreka Union High School District,00,09,12, ,E,3356625091,20958631,+41.7984998,-122.6322692,2018,2017-2018,3.60634049347654,0.365833699456509,101
06, ,06001, ,0606001,Yosemite Unified School District (9-12),00,09,12,A,F,1224437687,16851136,+37.3182843,-119.7317518,2018,2017-2018,2.72090584960758,0.126186323617002,102
06, ,35600, ,0635600,Santa Cruz City High School District,00,07,12, ,E,255103642,62594562,+37.0795862,-122.1744913,2018,2017-2018,1.37480574635502,0.0258900452761542,103
06, ,36600, ,0636600,Shasta Union High School District,00,09,12, ,E,4704683772,44636698,+40.6150720,-122.2271000,2018,2017-2018,7.1667093352363,0.505768455844991,104
06, ,06031, ,0606031,Tracy Unified School District (9-12),00,09,12,A,F,551000092,5621669,+37.6474454,-121.4124189,2018,2017-2018,1.3421680154959,0.056828097285006,105
06, ,19540, ,0619540,Kern High School District,00,09,12, ,E,7737493794,50934464,+35.3930930,-118.7772289,2018,2017-2018,6.37529421443611,0.772786087414497,106
