ObjectId,YEAR,MONTH,Number_of_Tags_Issued,animal_type,zip_code
1049,2014,9,2,DOG,40204
1050,2014,9,13,DOG,40205
1051,2014,9,2,DOG,40206
1052,2014,9,7,DOG,40207
1053,2014,9,1,DOG,40208
1054,2014,9,1,DOG,40210
1055,2014,9,1,DOG,40211
1056,2014,9,3,DOG,40212
1057,2014,9,4,DOG,40213
1058,2014,9,26,DOG,40214
1059,2014,9,13,DOG,40215
1060,2014,9,15,DOG,40216
1061,2014,9,7,DOG,40217
1062,2014,9,3,DOG,40218
1063,2014,9,11,DOG,40219
1064,2014,9,8,DOG,40220
1065,2014,9,1,DOG,40222
1066,2014,9,4,DOG,40223
1067,2014,9,5,DOG,40228
1068,2014,9,6,DOG,40229
1069,2014,9,2,DOG,40241
1070,2014,9,5,DOG,40242
1071,2014,9,1,DOG,40243
1072,2014,9,1,DOG,40245
1073,2014,9,10,DOG,40258
1074,2014,9,19,DOG,40272
1075,2014,9,5,DOG,40291
1076,2014,9,5,DOG,40299
1077,2014,10,1,CAT,40004
1078,2014,10,2,CAT,40014
1079,2014,10,3,CAT,40023
1080,2014,10,1,CAT,40201
1081,2014,10,5,CAT,40204
1082,2014,10,2,CAT,40205
1083,2014,10,3,CAT,40212
1084,2014,10,5,CAT,40214
1085,2014,10,3,CAT,40217
1086,2014,10,1,CAT,40218
1087,2014,10,2,CAT,40220
1088,2014,10,3,CAT,40222
1089,2014,10,3,CAT,40223
1090,2014,10,1,CAT,40229
1091,2014,10,1,CAT,40241
1092,2014,10,2,CAT,40243
1093,2014,10,1,CAT,40245
1094,2014,10,6,CAT,40272
1095,2014,10,1,DOG,40004
1096,2014,10,3,DOG,40023
1097,2014,10,1,DOG,40059
1098,2014,10,3,DOG,40118
1099,2014,10,1,DOG,40165
1100,2014,10,2,DOG,40201
1101,2014,4,8,DOG,40258
1102,2014,4,1,DOG,40268
1103,2014,4,14,DOG,40272
1104,2014,4,7,DOG,40291
1105,2014,4,4,DOG,40299
1106,2014,5,1,CAT,23130
1107,2014,5,1,CAT,40059
1108,2014,5,1,CAT,40118
1109,2014,5,1,CAT,40204
1110,2014,5,2,CAT,40205
1111,2014,5,1,CAT,40206
1112,2014,5,1,CAT,40207
1113,2014,5,1,CAT,40208
1114,2014,5,4,CAT,40214
1115,2014,5,5,CAT,40216
1116,2014,5,1,CAT,40217
1117,2014,5,2,CAT,40218
1118,2014,5,1,CAT,40219
1119,2014,5,1,CAT,40220
1120,2014,5,1,CAT,40222
1121,2014,5,1,CAT,40223
1122,2014,5,2,CAT,40229
1123,2014,5,2,CAT,40242
1124,2014,5,1,CAT,40245
1125,2014,5,4,CAT,40258
1126,2014,5,4,CAT,40272
1127,2014,5,3,CAT,40299
1128,2014,5,1,DOG,40059
1129,2014,5,2,DOG,40118
1130,2014,5,1,DOG,40203
1131,2014,5,3,DOG,40204
1132,2014,5,4,DOG,40205
1133,2014,5,3,DOG,40206
1134,2014,5,5,DOG,40207
1135,2014,5,1,DOG,40208
1136,2014,5,1,DOG,40211
1137,2014,5,4,DOG,40212
1138,2014,5,2,DOG,40213
1139,2014,5,13,DOG,40214
1140,2014,5,5,DOG,40215
1141,2014,5,17,DOG,40216
1142,2014,5,2,DOG,40217
1143,2014,5,3,DOG,40218
1144,2014,5,7,DOG,40219
1145,2014,5,11,DOG,40220
1146,2014,5,5,DOG,40222
1147,2014,5,1,DOG,40223
1148,2014,5,1,DOG,40228
1149,2014,5,3,DOG,40229
1150,2014,5,1,DOG,40241
1151,2014,3,1,CAT,40218
1152,2014,3,3,CAT,40219
1153,2014,3,3,CAT,40220
1154,2014,3,2,CAT,40222
1155,2014,3,2,CAT,40223
1156,2014,3,3,CAT,40229
1157,2014,3,1,CAT,40241
1158,2014,3,1,CAT,40242
1159,2014,3,2,CAT,40245
1160,2014,3,5,CAT,40272
1161,2014,3,1,CAT,40291
1162,2014,3,2,CAT,40299
